BD,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
505,1- ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތައް ހިއްސާކުރެވޭނެ ގޮތެއް ހަމަޖައްސައި، ހިއްސާވާ ފަރާތްތަކަށް އަންގައިފައި ވޭ,ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތައް ހިއްސާކުރެވޭނެ ނިޒާމެއް ގާއިމުކުރުން,5.2.2.2,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
506,2- ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތަކަށް ހައްލު ގެނައުމަށް މަސައްކަތްކުރޭ,ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތައް ހިއްސާކުރެވޭނެ ނިޒާމެއް ގާއިމުކުރުން,5.2.2.2,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
507,3- ސްކޫލް ހިއްސާވާ ފަރާތްތަކުން ހުށަހަޅާ ކަންބޮޑުވުންތަކުގެ ސިއްރު ހިފެހެއްޓުމަށް އިންތިޒާމުތަކެއް ގާއިމުކޮށްފައި ވޭ,ސްކޫލް ހިއްސާވާ ފަރާތްތަކުގެ ކަންބޮޑުވުންތައް ހިއްސާކުރެވޭނެ ނިޒާމެއް ގާއިމުކުރުން,5.2.2.2,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
508,1- މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ހިއްސާވާ ފަރާތްތަކާ ޤަވާޢިދުން ހިއްސާކުރޭ,މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކޮށް އަހުލުވެރިކުރުން,5.2.2.3,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
509,2- މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ފަސޭހައިން ފެންނާނެހެން ހުރޭ,މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކޮށް އަހުލުވެރިކުރުން,5.2.2.3,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
510,3- މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތަކަށް ހުރިހައި މުވައްޒަފުން އަހުލުވެރިކުރޭ,މިނިސްޓްރީގެ އުސޫލުތަކާއި ސަރކިއުލަރތައް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކޮށް އަހުލުވެރިކުރުން,5.2.2.3,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
511,1- ދުވަހުން ދުވަހަށް ދަރިވަރުންގެ ހާޒިރީ އަދާހަމަކުރޭ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަމުގައި އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3.1,އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3,ފެންވަރު 5.2: އިދާރީ ހިންގުން
512,2- ޕޮލިސީއާ އެއްގޮތައް ހާޒިރުނުވާ (3 ދުވަސް، 10 ދުވަސް)ދަރިވަރުންގެ ބެލެނިވެރިންނަށް ގުޅާ ހޯމް ވިޒިޓް ހަދާ ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަމުގައި އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3.1,އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3,ފެންވަރު 5.2: އިދާރީ ހިންގުން
513,3- ދިގު މުއްދަތަކަށް ހާޒިރުނުވާ ދަރިވަރުންގެ މަޢުލޫމާތު މިނިސްޓްރީއަށް ހިއްސާކޮށް ލިޔެކިޔުންތައް ބަލަހައްޓާ,ދަރިވަރުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަމުގައި އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3.1,އެޓެންޑެންސް ޕޮލިސީއާ އެއްގޮތަށް ޢަމަލުކުރުން,5.2.3,ފެންވަރު 5.2: އިދާރީ ހިންގުން
514,1- ކޮންމެ ދުވަހަކު އެސެމްބްލީގައި ޤައުމީ ސަލާމު ކިޔާ,މިނިސްޓްރީ އޮފް އެޑިޔުކޭޝަނުގެ ސަރކިޔުލަރއާ އެއްގޮތަށް  އެސެމްބްލީ ބޭއްވުން,5.2.4.1,އެސެމްބްލީ ކުރިއަށްދާ ގޮތް,5.2.4,ފެންވަރު 5.2: އިދާރީ ހިންގުން
515,2- އެސެމްބްލީގައި ވާހަކަދެއްކުމުގެ ފުރުޞަތު މުވައްޒަފުންނަށް ދޭ,މިނިސްޓްރީ އޮފް އެޑިޔުކޭޝަނުގެ ސަރކިޔުލަރއާ އެއްގޮތަށް  އެސެމްބްލީ ބޭއްވުން,5.2.4.1,އެސެމްބްލީ ކުރިއަށްދާ ގޮތް,5.2.4,ފެންވަރު 5.2: އިދާރީ ހިންގުން
516,3- އެސެމްބްލީގައި ވާހަކަދެއްކުމުގެ ފުރުޞަތު ދަރިވަރުންނަށް ދޭ,މިނިސްޓްރީ އޮފް އެޑިޔުކޭޝަނުގެ ސަރކިޔުލަރއާ އެއްގޮތަށް  އެސެމްބްލީ ބޭއްވުން,5.2.4.1,އެސެމްބްލީ ކުރިއަށްދާ ގޮތް,5.2.4,ފެންވަރު 5.2: އިދާރީ ހިންގުން
517,1- ދުވަހުން ދުވަހަށް އެންޓްރީ ބަލަހައްޓާ ހާޒިރީއާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކުރޭ,އިދާރީ ލިޔެކިޔުންތައް ބަލަހައްޓައި އަދާހަމަކުރުން,5.2.5.1,އިދާރީ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.2.5,ފެންވަރު 5.2: އިދާރީ ހިންގުން
518,2- ދުވަހުގެ ޔައުމިއްޔާތައް ލިޔޭ,އިދާރީ ލިޔެކިޔުންތައް ބަލަހައްޓައި އަދާހަމަކުރުން,5.2.5.1,އިދާރީ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.2.5,ފެންވަރު 5.2: އިދާރީ ހިންގުން
519,3- ސްކޫލުގެ ޕްރޮފައިލް އަދާހަމަކުރޭ,އިދާރީ ލިޔެކިޔުންތައް ބަލަހައްޓައި އަދާހަމަކުރުން,5.2.5.1,އިދާރީ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.2.5,ފެންވަރު 5.2: އިދާރީ ހިންގުން
520,1- ތިމާވެށި ރައްކާތެރިކުރުމާއި ދެމެހެއްޓެނިވި އާދަތަކާ ގުޅޭގޮތުން މުވައްޒަފުން ހޭލުންތެރިކުރޭ,ތިމާވެށްޓަށް ލޯބިކުރާ، ތިމާވެއްޓާ ރައްޓެހި ސްކޫލަކަށް ހެދުން,5.2.6.1,ތިމާވެށްޓާ ރަހުމަތްތެރި މާހައުލެއް ޤާއިމުކުރުން,5.2.6,ފެންވަރު 5.2: އިދާރީ ހިންގުން
521,2- ތިމާވެށި ރައްކާތެރިކުރުމާއި ދެމެހެއްޓެނިވި އާދަތަކާ ގުޅޭގޮތުން ދަރިވަރުން ހޭލުންތެރިކުރޭ,ތިމާވެށްޓަށް ލޯބިކުރާ، ތިމާވެއްޓާ ރައްޓެހި ސްކޫލަކަށް ހެދުން,5.2.6.1,ތިމާވެށްޓާ ރަހުމަތްތެރި މާހައުލެއް ޤާއިމުކުރުން,5.2.6,ފެންވަރު 5.2: އިދާރީ ހިންގުން
522,3- ގަސް އިންދާ ހެއްދުމަށް، ދަރިވަރުން ލޯބިކުރުމަށް ސްކޫލުން މަސައްކަތްކުރޭ,ތިމާވެށްޓަށް ލޯބިކުރާ، ތިމާވެއްޓާ ރައްޓެހި ސްކޫލަކަށް ހެދުން,5.2.6.1,ތިމާވެށްޓާ ރަހުމަތްތެރި މާހައުލެއް ޤާއިމުކުރުން,5.2.6,ފެންވަރު 5.2: އިދާރީ ހިންގުން
523,4- ޕްލާސްޓިކުން އުފައްދާފައިވާ ތަކެތީގެ ތެރެއިން އެއް ފަހަރު ބޭނުންކޮށްފައި އެއްލައިލާ ތަކެތި، ބޭނުންނުކުރުމަށް މުވައްޒަފުންނަށް ބާރުއަޅާ,ތިމާވެށްޓަށް ލޯބިކުރާ، ތިމާވެއްޓާ ރައްޓެހި ސްކޫލަކަށް ހެދުން,5.2.6.1,ތިމާވެށްޓާ ރަހުމަތްތެރި މާހައުލެއް ޤާއިމުކުރުން,5.2.6,ފެންވަރު 5.2: އިދާރީ ހިންގުން
900,5- ޕްލާސްޓިކުން އުފައްދާފައިވާ ތަކެތީގެ ތެރެއިން އެއް ފަހަރު ބޭނުންކޮށްފައި އެއްލައިލާ ތަކެތި، ބޭނުންނުކުރުމަށް ދަރިވަރުންނަށް ބާރުއަޅާ,ތިމާވެށްޓަށް ލޯބިކުރާ، ތިމާވެއްޓާ ރައްޓެހި ސްކޫލަކަށް ހެދުން,5.2.6.1,ތިމާވެށްޓާ ރަހުމަތްތެރި މާހައުލެއް ޤާއިމުކުރުން,5.2.6,ފެންވަރު 5.2: އިދާރީ ހިންގުން
524,6- 'ރެޑިއުސް، ރީ ޔޫޒް، ރީސައިކަލް' ކުރުމަށް ދަރިވަރުންނަށް ސްކޫލުން ބާރުއަޅާ,ތިމާވެށްޓަށް ލޯބިކުރާ، ތިމާވެއްޓާ ރައްޓެހި ސްކޫލަކަށް ހެދުން,5.2.6.1,ތިމާވެށްޓާ ރަހުމަތްތެރި މާހައުލެއް ޤާއިމުކުރުން,5.2.6,ފެންވަރު 5.2: އިދާރީ ހިންގުން
901,7- 'ރެޑިއުސް، ރީ ޔޫޒް، ރީސައިކަލް' ކުރުމަށް މުވައްޒަފުންނަށް ސްކޫލުން ބާރުއަޅާ,ތިމާވެށްޓަށް ލޯބިކުރާ، ތިމާވެއްޓާ ރައްޓެހި ސްކޫލަކަށް ހެދުން,5.2.6.1,ތިމާވެށްޓާ ރަހުމަތްތެރި މާހައުލެއް ޤާއިމުކުރުން,5.2.6,ފެންވަރު 5.2: އިދާރީ ހިންގުން
526,1- ވޭތުވެ ދިޔަ   އަހަރު ގުރޭޑު 10 ނިންމި ދަރިވަރުންގެ ތެރެއިން އޯލެވެލްގެ 3 މާއްދާ އާއި އެސްއެސްސީގެ 2 މާއްދާއިން މަދުވެގެން %60 ދަރިވަރުން ފާސްވެފައި ވޭ,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7.1,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7,ފެންވަރު 5.2: އިދާރީ ހިންގުން
527,2- ވޭތުވެ ދިޔަ  އަހަރު ގުރޭޑު 12 ނިންމި ދަރިވަރުންގެ ތެރެއިން އޭލެވެލް 2 މާއްދާ އާއި އެޗްއެސްސީގެ 1 މާއްދާއިން މަދުވެގެން %80 ދަރިވަރުން ފާސްވެފައި ވޭ,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7.1,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7,ފެންވަރު 5.2: އިދާރީ ހިންގުން
528,3- ވޭތުވެ ދިޔަ އަހަރު ސްކޫލުން އަންދާޒާކުރި ނަތީޖާ ޙާޞިލުވެފައި ވޭ,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7.1,ސްކޫލް ނިންމާ އިމްތިހާން ތަކުން ދަރިވަރުން ހާސިލްކުރާ މިންވަރު ވަޒަންކުރުން,5.2.7,ފެންވަރު 5.2: އިދާރީ ހިންގުން
530,1- ޕްރައިމަރީ ގްރޭޑުތަކުގެ ދަރިވަރުން ކުރިއަރަމުން އަންނަ މިންވަރު ރެކޯޑުކުރޭ,ޕްރައިމަރީ ގްރޭޑުތަކުގެ ދަރިވަރުން ޙާޞިލުކުރާ މިންވަރު ދެނެގަތުން,5.3.2.1,ސްކޫލް ބޭސްޑް އެސެސްމަންޓްތަކުން ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު ވަޒަންކުރުން,5.3.2,ފެންވަރު 5.3: ދަރިވަރުންގެ ކުރިއެރުމާއި ޙާޞިލުކުރާ މިންވަރު ވަޒަންކުރުން
531,2- އައުޓްކަމްތަކުން ދަރިވަރުން ޙާޞިލުކުރާ ނަތީޖާތަކުގެ އެނަލިސިސް ތައްޔާރުކުރޭ,ޕްރައިމަރީ ގްރޭޑުތަކުގެ ދަރިވަރުން ޙާޞިލުކުރާ މިންވަރު ދެނެގަތުން,5.3.2.1,ސްކޫލް ބޭސްޑް އެސެސްމަންޓްތަކުން ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު ވަޒަންކުރުން,5.3.2,ފެންވަރު 5.3: ދަރިވަރުންގެ ކުރިއެރުމާއި ޙާޞިލުކުރާ މިންވަރު ވަޒަންކުރުން
532,3- ކަމާ ގުޅުންހުރި ފަރާތްތަކާ ހިއްސާކުރޭ,ޕްރައިމަރީ ގްރޭޑުތަކުގެ ދަރިވަރުން ޙާޞިލުކުރާ މިންވަރު ދެނެގަތުން,5.3.2.1,ސްކޫލް ބޭސްޑް އެސެސްމަންޓްތަކުން ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު ވަޒަންކުރުން,5.3.2,ފެންވަރު 5.3: ދަރިވަރުންގެ ކުރިއެރުމާއި ޙާޞިލުކުރާ މިންވަރު ވަޒަންކުރުން
533,1- ގްރޭޑް 7އިން މަތީގެ ދަރިވަރުން ކުރިއަރަމުން އަންނަ މިންވަރު ރެކޯޑުކުރޭ,ގްރޭޑް 7އިން މަތީގެ ދަރިވަރުން ޙާޞިލުކުރާ މިންވަރު ދެނެގަތުން,5.3.2.2,ސްކޫލް ބޭސްޑް އެސެސްމަންޓްތަކުން ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު ވަޒަންކުރުން,5.3.2,ފެންވަރު 5.3: ދަރިވަރުންގެ ކުރިއެރުމާއި ޙާޞިލުކުރާ މިންވަރު ވަޒަންކުރުން
534,2- ގްރޭޑް 7އިން މަތީގެ ދަރިވަރުންގެ ނަތީޖާތަކުގެ އެނަލިސިސް ތައްޔާރުކުރޭ,ގްރޭޑް 7އިން މަތީގެ ދަރިވަރުން ޙާޞިލުކުރާ މިންވަރު ދެނެގަތުން,5.3.2.2,ސްކޫލް ބޭސްޑް އެސެސްމަންޓްތަކުން ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު ވަޒަންކުރުން,5.3.2,ފެންވަރު 5.3: ދަރިވަރުންގެ ކުރިއެރުމާއި ޙާޞިލުކުރާ މިންވަރު ވަޒަންކުރުން
535,3- ކަމާ ގުޅުންހުރި ފަރާތްތަކާ އެނަލިސިސް ހިއްސާކުރޭ,ގްރޭޑް 7އިން މަތީގެ ދަރިވަރުން ޙާޞިލުކުރާ މިންވަރު ދެނެގަތުން,5.3.2.2,ސްކޫލް ބޭސްޑް އެސެސްމަންޓްތަކުން ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު ވަޒަންކުރުން,5.3.2,ފެންވަރު 5.3: ދަރިވަރުންގެ ކުރިއެރުމާއި ޙާޞިލުކުރާ މިންވަރު ވަޒަންކުރުން
537,1- ހުރިހައި ގްރޭޑެއްގެ ސްކީމްތައް ފަސޭހައިން އެއްތަނަކުން ފެންނާނެ ގޮތަށް އިންތިޒާމުކޮށްފައި ވޭ,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ރައްކާތެރިކަމާ އެކު ބެލެހެއްޓޭނެ އިންތިޒާމު ހަމަޖައްސައިފައިވުން,5.4.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ބަލަހައްޓާނެ ނިޒާމެއް ގާއިމުކުރުން,5.4.1,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
538,2- ހުރިހައި ގްރޭޑެއްގެ ލެސަން ޕްލޭނުތައް ފަސޭހައިން އެއްތަނަކުން ފެންނާނެ ގޮތަށް އިންތިޒާމުކޮށްފައި ވޭ,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ރައްކާތެރިކަމާ އެކު ބެލެހެއްޓޭނެ އިންތިޒާމު ހަމަޖައްސައިފައިވުން,5.4.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ބަލަހައްޓާނެ ނިޒާމެއް ގާއިމުކުރުން,5.4.1,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
539,3- އުނގަންނައިދިނުމުގެ އެހީގެ ގޮތުގައި ބޭނުންކުރާ ވަސީލަތްތައް އެއްތަނަކުން ފެންނާނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ރައްކާތެރިކަމާ އެކު ބެލެހެއްޓޭނެ އިންތިޒާމު ހަމަޖައްސައިފައިވުން,5.4.1.1,އުނގަންނައިދިނުމާ ގުޅޭ ވަސީލަތްތައް ބަލަހައްޓާނެ ނިޒާމެއް ގާއިމުކުރުން,5.4.1,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
540,1- އުނގެނުމާއި އުނގަންނައިދިނުމާ ބެހޭ ގޮތުން މަޝްވަރާކުރުމަށް އެސް އެމް ޓީ މީޓިން ބާއްވާ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ބެހޭ ގޮތުން  މަޝްވަރާކުރުން,5.4.2.1,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
541,2 - ކޯޑިނޭޝަން މީޓިންތައް ކުރިއަށް ދާ ގޮތް ބަލައި އިރުޝާދު ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ބެހޭ ގޮތުން  މަޝްވަރާކުރުން,5.4.2.1,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
542,3- ލީޑިންޓީޗަރުންނާއި މުދައްރިސުންނާއެކު ބާއްވާ ބައްދަލުވުންތަކުގައި ކަރިކިއުލަމް ތަންފީޒުކުރުމަށް  ބޭނުންވާ ފަންނީ ލަފަޔާއި އިރުޝާދު ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ބެހޭ ގޮތުން  މަޝްވަރާކުރުން,5.4.2.1,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
543,1- މުދައްރިސުންގެ ފިލާވަޅުތައް ތާވަލުކޮށްގެން އޮބްޒާރވްކޮށް ލިޔުމުން ފީޑްބެކް ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ކަންކަން މޮނިޓަރކުރުން,5.4.2.2,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
544,2- ލީޑިންގ ޓީޗަރުންގެ ފިލާވަޅުތައް ތާވަލުކޮށްގެން އޮބްޒަރވްކޮށް ލިޔުމުން ފީޑްބެކް ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ކަންކަން މޮނިޓަރކުރުން,5.4.2.2,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
545,3- ހުރިހައި ލީޑިންގ ޓީޗަރުންނަށް ކިޔަވައިދޭނެ ގަޑިތައް ހަވާލުކޮށް، އެ ގަޑިތަކުގައި ކިޔަވައިދޭކަން ކަށަވަރުކުރޭ,އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ކަންކަން މޮނިޓަރކުރުން,5.4.2.2,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
546,1- އެސެސްމަންޓް އެނަލިސިސްގެ ހޯދުންތަކާ ގުޅޭ ގޮތުންހިއްސާވާ ފަރާތްތަކާ މަޝްވަރާކުރޭ,އެސެސްމަންޓްތަކާ ގުޅިގެން އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,5.4.2.3,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
547,2- އެސެސްމަންޓް އެނަލިސިސްގެ ހޯދުންތަކާ ގުޅިގެން އުނގެނުމާއި އުނގަންނައިދިނުމަށް ގެންނަންޖެހޭ ބަދަލުތައް ގެންނަކަން ކަށަވަރުކުރޭ,އެސެސްމަންޓްތަކާ ގުޅިގެން އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,5.4.2.3,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
548,3- އެސެސްމަންޓް އެނަލިސިސްގެ ހޯދުންތަކަށް ބިނާކޮށް، މުދައްރިސުންނަށް ބޭނުންވާ ފަންނީ ލަފަޔާއި އިރުޝާދު ދޭ,އެސެސްމަންޓްތަކާ ގުޅިގެން އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,5.4.2.3,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
804,1- ލީޑިން ޓީޗަރުންގެ ފިލާވަޅުތައް އޮބްޒަރވްކޮށް ލިޔުމުން ފީޑްބެކް ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,5.4.2.4,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
805,2- މުދައްރިސުންގެ ފިލާވަޅުތައް އޮބްޒަރވްކޮށް ލިޔުމުން ފީޑްބެކް ދޭ,އުނގެނުމާއި އުނގަންނައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,5.4.2.4,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
806,3- އިންފޯމަލް އޮބްޒަރވޭޝަން  ކުރިއަށްގެންދޭ (ވިންޑޯ އޮބްޒަރވޭޝަން ),އުނގެނުމާއި އުނގަންނައިދިނުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން,5.4.2.4,އުނގެނުމާއި އުނގަންނައިދިނުމުގައި ޕްރިންސިޕަލުގެ ބައިވެރިވުން,5.4.2,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
