,ފައުންޑޭޝަން ސްޓޭޖު,,,,,,,,
, ފައުންޑޭޝަން - އޮބްޒަވޭޝަނުން ބަލާނެ ކަންތައްތައް,,,,,,,,
IndicatorCode,Score,ބަލާނެ ލިޔެކިޔުން,ހޯދާބެލުން,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
297,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,1- އުނގަންނައިދޭ ތީމާ ގުޅޭގޮތަށް  ތައްޔާރުކޮށްފައި ވޭ,ފަސް ޑޮމެއިނުން  ތަރައްގީވާ ގޮތަށް ލަރނިން އޭރިއާ ތައްޔާރުކުރުން  ,2.4.1.1,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
298,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,2- ފަސް ޑޮމެއިން ތަރައްގީކުރުމަށް ބޭނުންވާ ވަސީލަތްތައް ހުރޭ,ފަސް ޑޮމެއިނުން  ތަރައްގީވާ ގޮތަށް ލަރނިން އޭރިއާ ތައްޔާރުކުރުން  ,2.4.1.1,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
299,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,3- އާންމު ދިރިއުޅުމާ ގުޅުން ހުރި ތަކެތި  ލާރނިންގ އޭރިޔާތަކުގައި ހުރޭ,ފަސް ޑޮމެއިނުން  ތަރައްގީވާ ގޮތަށް ލަރނިން އޭރިއާ ތައްޔާރުކުރުން  ,2.4.1.1,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
300,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,1- ދަރިވަރުންގެ އެންމެ ފަހުގެ މަސައްކަތްތައް ކުލާސްރޫމުގައި ފެންނަންހުރޭ,ކްލާސްރޫމަކީ ދަރިވަރުން އުގެނުމަށް އެހީތެރިވެދޭ ފަދަ މާހައުލަކަށް ހެދުން ,2.4.1.2,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
301,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,2- ދަރިވަރުންގެ މަސައްކަތްތައް އައިލެވެލްގައި ހުރޭ,ކްލާސްރޫމަކީ ދަރިވަރުން އުގެނުމަށް އެހީތެރިވެދޭ ފަދަ މާހައުލަކަށް ހެދުން ,2.4.1.2,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
302,1,,ފައުންޑޭޝަން ކުލާސްރޫމް,3- ތީމާ ގުޅޭގޮތުން އުނގެނުމަށް އެހީތެރިވެދޭ ފަދަ ޑިސްޕްލޭތައް ހުރޭ ,ކްލާސްރޫމަކީ ދަރިވަރުން އުގެނުމަށް އެހީތެރިވެދޭ ފަދަ މާހައުލަކަށް ހެދުން ,2.4.1.2,އުނގެނުމަށް ފަހިވާ ގޮތަށް ފައުންޑޭޝަން ސްޓޭޖުގެ ކްލާސްރޫމް ތައްޔާރުކުރުން ,2.4.1,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
307,1,,ފައުންޑޭޝަން ކްލާސް,5- ފައުންޑޭޝަނުގެ ދަރިވަރުންނަށް އުނގަންނައިދޭ ތީމާ ގުޅޭ ގޮތަށް ފޮތްތައް ބަހައްޓާ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
308,1,,ފައުންޑޭޝަން ކްލާސް,6- ދަރިވަރުންގެ އަތްފޯރާ ފަށުގައި ފޮތްތައް ބަހައްޓާ,ދަރިވަރުންނާއި މުދައްރިސުންނަށް ބޭނުންކުރެވޭ ގޮތަށް ލައިބްރަރީ/ތަނެއް ތައްޔާރުކޮށްފައިވުން,2.4.2.1,ފޮތްކިޔުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,2.4.2,ފެންވަރު 2.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ވަސީލަތްތައް 
, ފައުންޑޭޝަން - ލިޔެކިޔުންތަކުން ބަލާނެ ކަންތައްތައް     ,,,,,,,,
102,1,"- ޑައިގްނޯސްކޮށްފައިވާ ކަމުގެ ހެކި( ވޯރކްޝީޓް/ ޗެކުލިސްޓު ފަދަ ތަކެތި) 
-ލިޔަންކިޔަންނޭގޭ ދަރިވަރުންގެ ލިސްޓު
",,1- ދަރިވަރުންނަށް ލިޔަންކިޔަން އެނގޭ މިންވަރު ދެނެގަނެ، ލިޔެކިޔުން ބަލަހައްޓާ,އެލްކޭޖީގެ ދަރިވަރުންނަށް ލިޔަންކިޔަން އެނގޭ މިންވަރު ދެނެގަނެފައިވުން ,2.1.4.1,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
103,1," -ލިޔަންކިޔަންނޭގޭ ދަރިވަރުންގެ ލިސްޓު
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޝެޑިއުލް
-ހާޒިރީ",,2- ދަރިވަރުންނަށް ލިޔަންކިޔަން ދަސްކޮށްދިނުމަށް ހިންގާ ޕްރޮގްރާމްތަކުގެ ލިޔެކިޔުންތައް ބަލަހައްޓާ,އެލްކޭޖީގެ ދަރިވަރުންނަށް ލިޔަންކިޔަން އެނގޭ މިންވަރު ދެނެގަނެފައިވުން ,2.1.4.1,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
104,1,-ޕޯޓްފޯލިޔޯ / ޗެކުލިސްޓް,,3- އެލްކޭޖީ ނިމޭއިރު ޙާޞިލުވާންޖެހޭ މިންވަރު ދަރިވަރުންނަށް ޙާޞިލުކޮށްދޭ,އެލްކޭޖީގެ ދަރިވަރުންނަށް ލިޔަންކިޔަން އެނގޭ މިންވަރު ދެނެގަނެފައިވުން ,2.1.4.1,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
105,1,"- ޑައިގްނޯސްކޮށްފައިވާ ކަމުގެ ހެކި( ވޯރކްޝީޓް/ ޗެކުލިސްޓު ފަދަ ތަކެތި) 
-ލިޔަންކިޔަންނޭގޭ ދަރިވަރުންގެ ލިސްޓު
",,1- ޔޫކޭޖީގެ ދަރިވަރުންނަށް ލިޔަންކިޔަން އެނގޭ މިންވަރު ދެނެގަނެ، ލިޔެކިޔުންތައް ބަލަހައްޓާ,ޔޫކޭޖީގެ ދަރިވަރުންނަށް ލިޔަންކިޔަން އެނގޭ މިންވަރު ދެނެގަތުމާއި އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,2.1.4.2,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
106,1," -ލިޔަންކިޔަންނޭގޭ ދަރިވަރުންގެ ލިސްޓު
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޝެޑިއުލް
-ހާޒިރީ",,2- ލިޔަންކިޔަން ދަސްކޮށްދިނުމަށް އިތުރު އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންނަށް ހަރަކާތްތައް ރާވައި ހިންގާ,ޔޫކޭޖީގެ ދަރިވަރުންނަށް ލިޔަންކިޔަން އެނގޭ މިންވަރު ދެނެގަތުމާއި އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,2.1.4.2,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
323,1,ޕޯޓްފޯލިޔޯ,,1- ފަސް ޑޮމެއިންގެ މައްޗަށް ދަރިވަރުންގެ ޕޯޓްފޯލިޔޯ ތައްޔާރުކުރޭ,ފައުންޑޭޝަން ސްޓޭޖްގެ ދަރިވަރުންގެ ފެންވަރު ބެލުމާއި ރިޕޯޓުކުރުން,2.5.1.2,އުނގެނުމާއި އުނގަންނައިދިނުން ވަޒަންކޮށްގެން ލިބޭ މަޢުލޫމާތުގެ އަލީގައި އުނގެނުމާއި އުނގަންނައިދިނުމަށް ބަދަލު ގެނައުން,2.5.1,ފެންވަރު 2.5: ފެންވަރުބެލުމާއި ރިޕޯޓުކުރުން
324,1,އެލްކޭޖީގެ ޕޯޓްފޯލިޔޯ,,2- އެލްކޭޖީގެ ޕޯޓްފޯލިޔޯގެ މައުލޫމާތު ޔޫކޭޖީގައި ބޭނުންކުރޭ,ފައުންޑޭޝަން ސްޓޭޖްގެ ދަރިވަރުންގެ ފެންވަރު ބެލުމާއި ރިޕޯޓުކުރުން,2.5.1.2,އުނގެނުމާއި އުނގަންނައިދިނުން ވަޒަންކޮށްގެން ލިބޭ މަޢުލޫމާތުގެ އަލީގައި އުނގެނުމާއި އުނގަންނައިދިނުމަށް ބަދަލު ގެނައުން,2.5.1,ފެންވަރު 2.5: ފެންވަރުބެލުމާއި ރިޕޯޓުކުރުން
325,1,ބެލެނިވެރިންގެ ހާޒިރީ/ޕޯޓްފޯލިޔޯ ,,3- ޓާމަކު އެއްފަހަރު ދަރިވަރުންގެ ޕޯޓްފޯލިޔޯ ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ފައުންޑޭޝަން ސްޓޭޖްގެ ދަރިވަރުންގެ ފެންވަރު ބެލުމާއި ރިޕޯޓުކުރުން,2.5.1.2,އުނގެނުމާއި އުނގަންނައިދިނުން ވަޒަންކޮށްގެން ލިބޭ މަޢުލޫމާތުގެ އަލީގައި އުނގެނުމާއި އުނގަންނައިދިނުމަށް ބަދަލު ގެނައުން,2.5.1,ފެންވަރު 2.5: ފެންވަރުބެލުމާއި ރިޕޯޓުކުރުން
581,1,ލެސަން ޕްލޭން,,1- ފައުންޑޭޝަން ސްޓޭޖުގެ ދަރިވަރުންނަށް މަދުވެގެން  3 ގަޑިއިރު ކިޔަވައިދޭކަން ކަށަވަރުކުރޭ,ފައުންޑޭޝަން ސްޓޭޖުގައި އުނގަންނައިދިނުމަށް ކަނޑައަޅައިފައިވާ ވަގުތު ބޭނުންކުރާ ގޮތް މޮނިޓަރކުރުން  ,5.4.6.7,ލީޑިންގ ޓީޗަރުން އުނގެނުމާއި އުގަންނައިދިނުމުގެ ކަންކަން ބަލައި މޮނިޓަރކުރުން,5.4.6,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
582,1,,ލެސަން ޕްލޭން /ކުލާސް އޮބްސަރވޭޝަން,2- ކޮންމެ ދުވަހަކު ވެސް ކުލާހުން ބޭރުގައި މަދުވެގެން 30 މިނިޓް (10 މިނިޓް ގައިޑެޑްކޮށް) ކުޅުމުގެ ފުރުސަތު ދަރިވަރުންނަށް ދޭކަން ކަށަވަރުކުރޭ,ފައުންޑޭޝަން ސްޓޭޖުގައި އުނގަންނައިދިނުމަށް ކަނޑައަޅައިފައިވާ ވަގުތު ބޭނުންކުރާ ގޮތް މޮނިޓަރކުރުން  ,5.4.6.7,ލީޑިންގ ޓީޗަރުން އުނގެނުމާއި އުގަންނައިދިނުމުގެ ކަންކަން ބަލައި މޮނިޓަރކުރުން,5.4.6,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
583,1,,ކްލާސް އޮބްޒަވޭޝަން,3- ދަރިވަރުންނަށް ކިޔަވައިދިނުމުގައި އެސިސްޓެންޓް ޓީޗަރު، ދުވާލަކު މަދުވެގެން 2 ގަޑިއިރު ކުލާސް ޓީޗަރަށް އެހީތެރިވެދޭކަން ކަށަވަރުކުރޭ,ފައުންޑޭޝަން ސްޓޭޖުގައި އުނގަންނައިދިނުމަށް ކަނޑައަޅައިފައިވާ ވަގުތު ބޭނުންކުރާ ގޮތް މޮނިޓަރކުރުން  ,5.4.6.7,ލީޑިންގ ޓީޗަރުން އުނގެނުމާއި އުގަންނައިދިނުމުގެ ކަންކަން ބަލައި މޮނިޓަރކުރުން,5.4.6,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
584,1,ލެސަން ޕްލޭން،ފޮޓޯ/ޝެޑިއުލް,,1- ހަފްތާއަކު މަދުވެގެން އެއް ދުވަހު، ދަރިވަރުންނަށް ވެއްޔާކުޅުމުގެ ފުރުސަތު ދޭަކަން ކަށަވަރުކުރޭ ,ފައުންޑޭޝަން ސްޓޭޖުގެ ދަރިވަރުންނަށް ކްލާސްރޫމުން ބޭރުގައި ދޭންޖެހޭ ފުރުސަތުތައް ދިނުން  ,5.4.6.8,ލީޑިންގ ޓީޗަރުން އުނގެނުމާއި އުގަންނައިދިނުމުގެ ކަންކަން ބަލައި މޮނިޓަރކުރުން,5.4.6,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
585,1,ލެސަން ޕްލޭން،ފޮޓޯ/ޝެޑިއުލް,,2- ހަފްތާއަކު މަދުވެގެން އެއް ދުވަހު، ދަރިވަރުންނަށް ފެނާކުޅުމުގެ ފުރުސަތު ދޭަކަން ކަށަވަރުކުރޭ ,ފައުންޑޭޝަން ސްޓޭޖުގެ ދަރިވަރުންނަށް ކްލާސްރޫމުން ބޭރުގައި ދޭންޖެހޭ ފުރުސަތުތައް ދިނުން  ,5.4.6.8,ލީޑިންގ ޓީޗަރުން އުނގެނުމާއި އުގަންނައިދިނުމުގެ ކަންކަން ބަލައި މޮނިޓަރކުރުން,5.4.6,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
586,1,ލެސަން ޕްލޭން،ފޮޓޯ/ޝެޑިއުލް,,3- އުނގަންނައިދޭ ފިލާވަޅާ ގުޅުވައިގެން މައިދާނީ ދަތުރުތައް (ފީލްޑް ވިޒިޓްސް) ކުރިއަށް ގެންދާކަން ކަށަވަރުކުރޭ ,ފައުންޑޭޝަން ސްޓޭޖުގެ ދަރިވަރުންނަށް ކްލާސްރޫމުން ބޭރުގައި ދޭންޖެހޭ ފުރުސަތުތައް ދިނުން  ,5.4.6.8,ލީޑިންގ ޓީޗަރުން އުނގެނުމާއި އުގަންނައިދިނުމުގެ ކަންކަން ބަލައި މޮނިޓަރކުރުން,5.4.6,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު