,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - އިދާރީ ކަންކަމާ ގުޅޭ,,,,,,,,,
IndicatorCode,Score,ސުވާލުކުރާނެ ފަރާތް,Evidence,General Observation,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
23,1,އެެޗް އާރު,މެންބަރުންގެ ވަޒީފާ ބަޔާންތައް,,2- ކޮމިޓީގެ މެންބަރުންނަށް މަސްއޫލިއްޔަތު ލިޔުމުން ހަވާލުކޮށްފައި ވޭ,އިންކްލޫޝަން ކޮމިޓީ އެކުލަވައިލުން,1.2.1.1,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
25,1,އެޗްއާރް,ވަޒީފާބަޔާން,,1- މަސްއޫލިއްޔަތު އަދާކުރުމަށް ވަކި މުވައްޒަފަކު ހަމަޖައްސައި ވަޒީފާ ބަޔާނުގައި ސޮއިކުރުވައިފައި ވޭ, އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންތައްތައް ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,1.2.1.2,އިންކްލޫސިވް އެޑިޔުކޭޝަނާ ގުޅޭ ކަންކަން ކުރުމުގެ އިންތިޒާމު ހަމަޖެއްސުން,1.2.1,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
125,1,އެެޗު އާރު,ވަޒީފާ ބަޔާން,,1- ނެޝަނަލް ލިޓްރެސީ އެންޑް މެތެމެޓިކްސް ސްޓްރެޓެޖީ އެމްބެސެޑަރެއް ހުރޭ,ނެޝަނަލް ލިޓްރެސީ އެންޑް މެތެމެޓިކްސް ސްޓްރެޓެޖީ ތަންފީޒުކުރުން,2.1.5.3,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
331,1,އެޗްއާރް,ވަޒީފާ ބަޔާން,,1- ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުމަށް މުވައްޒަފަކު ހަމަޖައްސާފައި ވޭ,ޞިއްޙީ ޚިދުމަތްތައް ފޯރުކޮށްދިނުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,3.1.1.1,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
332,1,އެޗްއާރް,ވަޒީފާ ބަޔާން,,2- ވަޒީފާ ބަޔާނުގައި ސޮއިކުރުވާފައި ވޭ,ޞިއްޙީ ޚިދުމަތްތައް ފޯރުކޮށްދިނުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,3.1.1.1,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
333,1,އެޗްއާރް,ރިކުއަރމެންޓް/ސްޓާފް އެލޮކޭޝަން ލިސްޓް,,3- ތަމްރީނުވެފައިވާހެލްތު އެސިސްޓެންޓެއް ކޮންމެ ދަންފަޅިއަކަށް ހުރޭ,ޞިއްޙީ ޚިދުމަތްތައް ފޯރުކޮށްދިނުމުގެ މަސްއޫލިއްޔަތު ހަވާލުކުރުން,3.1.1.1,ޞިއްޙީ ޚިދުމަތް ފޯރުކޮށްދިނުން,3.1.1,ފެންވަރު 3.1: ޞިއްޙީ ވަސީލަތްތަކާއި ޚިދުމަތްތައް
346,1,އެޗްއާރް,ވަޒީފާ ބަޔާން,,1- ކައުންސެލިން/ގައިޑެންސް ދިނުމަށް  މުވައްޒަފަކު ހަމަޖައްސާފައި ވޭ,ކައުންސެލިން/ގައިޑެންސް ދިނުމަށް މުވައްޒަފަކު ހަމަޖެއްސުން,3.1.2.1,ކައުންސެލިން/ގައިޑެންސް ދިނުން,3.1.2,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
347,1,އެޗްއާރް,ރިކުއަރމެންޓް/ސްޓާފް އެލޮކޭޝަން ލިސްޓް,,2- ތަމްރީނުވެފައިވާ ކައުންސެލަރެއް ހުރޭ,ކައުންސެލިން/ގައިޑެންސް ދިނުމަށް މުވައްޒަފަކު ހަމަޖެއްސުން,3.1.2.1,ކައުންސެލިން/ގައިޑެންސް ދިނުން,3.1.2,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
348,1,އެޗްއާރް,ވަޒީފާ ބަޔާން,,3- ވަޒީފާ ބަޔާނުގައި ސޮއިކުރުވާފައި ވޭ,ކައުންސެލިން/ގައިޑެންސް ދިނުމަށް މުވައްޒަފަކު ހަމަޖެއްސުން,3.1.2.1,ކައުންސެލިން/ގައިޑެންސް ދިނުން,3.1.2,ފެންވަރު 3.2: ރައްކާތެރި މާހައުލު
418,1,އެޗްއާރް,ވަޒީފާ ބަޔާން,,1- ގަނާކުރުން ހުއްޓުވުމާ ގުޅޭ ކަންކަން ބެލެހެއްޓުމުގެ މަސްއޫލިއްޔަތު މުވައްޒަފަކާ ލިޔުމުން ހަވާލުކޮށްފައި ވޭ,ގަނާކުރުން ހުއްޓުވުމުގެ އުސޫލު ތަންފީޒުކުރުން,3.5.1.3,ރައްކާތެރިކަމާ ގުޅޭ އުސޫލުތައް ތަންފީޒުކުރުން,3.5.1,ފެންވަރު 3.5: ޞިއްޙަތާއި ރައްކާތެރިކަމާ ގުޅުންހުރި ޕޮލިސީތަކާއި އުސޫލުތައް
424,1,އެޗްއާރް,ވަޒީފާ ބަޔާން,,"1- ލިއޭޒަން އޮފިސަރަކާއި ޑެޕިއުޓީ ލިއޭޒަން އޮފިސަރުގެ މަސްއޫލިއްޔަތު  ލިޔުމުން ހަވާލުކޮށްފައި ވޭ




",ޗައިލްޑް ޕްރޮޓެކްޝަން ޕޮލިސީ ތަންފީޒުކުރުން,3.5.1.5,ރައްކާތެރިކަމާ ގުޅޭ އުސޫލުތައް ތަންފީޒުކުރުން,3.5.1,ފެންވަރު 3.5: ޞިއްޙަތާއި ރައްކާތެރިކަމާ ގުޅުންހުރި ޕޮލިސީތަކާއި އުސޫލުތައް
487,1,އެޗް އާރް,ވަޒީފާ ބަޔާން,,1- ޕީޑީ ކޯޑިނޭޓަރެއްގެ މަސްއޫލިއްޔަތު މުވައްޒަފަކާ ލިޔުމުން ހަވާލުކޮށްފައި ވޭ,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް (ޕީޑީ) ޕްލޭންކުރުން ,5.1.6.1,ޕްރޮފެޝަނަލް ޑިވެލޮޕްމަންޓް ޕްލޭންކޮށް ތަންފީޒުކުރުން ,5.1.6,ފެންވަރު 5.1:ދުރަށް ރޭވުމާއި ސްކޫލް ތަރައްގީކުރުން/ކުރިއެރުވުން
504,1,އެޗް އާރު,ވަޒީފާ ބަޔާން,,3- އެކަންކަމާ ގުޅޭގޮތުން މުއާމަލާތުކުރާނެ ވަކި ފަރާތެއް ހަމަޖައްސައިފައި ވޭ,ދަރިވަރުންގެ ރައްކާތެރިކަމަށް ބުރޫއަރާ ފަދަ ކަމެއް އެއްވެސް ފަރާތަކުން ކޮށްފި ނަމަ، އެކަން ހުށަހަޅާނެ ނިޒާމެއް ގާއިމުކުރުން ,5.2.2.1,ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ މުޢާމަލާތުކުރުން,5.2.2,ފެންވަރު 5.2: އިދާރީ ހިންގުން
517,1,އެޗް އާރް,އެެންޓްރީ ރެކޯޑް/މުވައްޒަފުންގެ ހާޒިރީ,,1- ދުވަހުން ދުވަހަށް އެންޓްރީ ބަލަހައްޓާ ހާޒިރީއާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކުރޭ,އިދާރީ ލިޔެކިޔުންތައް ބަލަހައްޓައި އަދާހަމަކުރުން,5.2.5.1,އިދާރީ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.2.5,ފެންވަރު 5.2: އިދާރީ ހިންގުން
518,1,އެޗް އާރް,ދުވަހީ ޔައުމިއްޔާ,,2- ދުވަހުގެ ޔައުމިއްޔާތައް ލިޔޭ,އިދާރީ ލިޔެކިޔުންތައް ބަލަހައްޓައި އަދާހަމަކުރުން,5.2.5.1,އިދާރީ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,5.2.5,ފެންވަރު 5.2: އިދާރީ ހިންގުން
552,1,އެޗްއާރް,ވަޒީފާ ބަޔާން(ޓެކްނިކަލް، އިދާރީ، އެކަޑަމިކް މުވައްޒަފުންގެ),,1- މުވައްޒަފުންނާ މަސްއޫލިއްޔަތު ހަވާލުކޮށްފައި ވޭ,މުވައްޒަފުންނާ ހަވާލުކޮށްފައިވާ ޒިންމާތަކާއި މަސްއޫލިއްޔަތުތަކަށް ޕްރިންސިޕަލް މުވައްޒަފުން ޖަވާބުދާރީކުރުވުން,5.4.4.1, ޕްރިންސިޕަލް، މުވައްޒަފުން ޖަވާބުދާރީކުރުވުން,5.4.4,ފެންވަރު 5.4: އުނގެނުމާއި އުނގަންނައިދިނުމުގައި އިސްވެރިންގެ ދައުރު
598,1,އެޗްއާރް,ސްޓާފް ރިކުއާމެންޓް,,1- ދަރިވަރުންގެ ނިސްބަތުން އެކަޑަމިކް ސްޓާފުން ހަމަޔަށް ތިބޭ,ސްކޫލަށް ބޭނުންވާ މިންވަރަށް މުވައްޒަފުން ހޯދުން,5.5.1.1,ދަރިވަރުންގެ ނިސްބަތުން މުވައްޒަފުން ހަމަޖައްސައިފައި ވުން ,5.5.1,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
599,1,އެޗްއާރް,ސްޓާފް ރިކުއާމެންޓް,,2- އިދާރީ މުވައްޒަފުންނާއި ސަޕޯޓް ސްޓާފުން ތިބޭ,ސްކޫލަށް ބޭނުންވާ މިންވަރަށް މުވައްޒަފުން ހޯދުން,5.5.1.1,ދަރިވަރުންގެ ނިސްބަތުން މުވައްޒަފުން ހަމަޖައްސައިފައި ވުން ,5.5.1,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
600,1,އެޗްއާރް,ސްޓާފް ރިކުއާމެންޓް,,3- ޓެކްނިކަލް މުވައްޒަފުން ތިބޭ,ސްކޫލަށް ބޭނުންވާ މިންވަރަށް މުވައްޒަފުން ހޯދުން,5.5.1.1,ދަރިވަރުންގެ ނިސްބަތުން މުވައްޒަފުން ހަމަޖައްސައިފައި ވުން ,5.5.1,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
601,1,އެޗްއާރް,ވޯކް އެލޮކޭޝަން/ވަޒީފާ ބަޔާން,,1- މުވައްޒަފު ޚާއްޞަވެފައިވާ ދާއިރާއިން މުވައްޒަފާ މަސައްކަތް ހަވާލުކޮށްފައި ވޭ,ސްކޫލުގެ ތަރައްޤީއާއި ކުރިއެރުމަށް އެންމެ މަންފާވާނެ ގޮތަށް، މުވައްޒަފުންގެ ބޭނުން ހިފުން,5.5.1.2,ދަރިވަރުންގެ ނިސްބަތުން މުވައްޒަފުން ހަމަޖައްސައިފައި ވުން ,5.5.1,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
602,1,އެޗްއާރް,ވޯކް އެލޮކޭޝަން/ވަޒީފާ ބަޔާން,,2- ސްކޫލަށް އެންމެ ބޭނުންޖެހިފައިވާ ގޮތަށް މުވައްޒަފުންގެ ބޭނުންކުރަމުންދޭ,ސްކޫލުގެ ތަރައްޤީއާއި ކުރިއެރުމަށް އެންމެ މަންފާވާނެ ގޮތަށް، މުވައްޒަފުންގެ ބޭނުން ހިފުން,5.5.1.2,ދަރިވަރުންގެ ނިސްބަތުން މުވައްޒަފުން ހަމަޖައްސައިފައި ވުން ,5.5.1,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
603,1,އެޗްއާރް,ވޯކް އެލޮކޭޝަން/ވަޒީފާ ބަޔާން,,3- މަސައްކަތްތައް ހަމަހަމަކޮށް ހަވާލުކޮށްފައި ވޭ,ސްކޫލުގެ ތަރައްޤީއާއި ކުރިއެރުމަށް އެންމެ މަންފާވާނެ ގޮތަށް، މުވައްޒަފުންގެ ބޭނުން ހިފުން,5.5.1.2,ދަރިވަރުންގެ ނިސްބަތުން މުވައްޒަފުން ހަމަޖައްސައިފައި ވުން ,5.5.1,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
604,1,އެޗްއާރް,މުވައްޒަފުންގެ ހާޒިރީ,,1- ސައިން އިން، ސައިން އައުޓް ރެކޯޑުތައް ދުވަހުން ދުވަހަށް ބަލަހައްޓާ,މުވައްޒަފުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން  ,5.5.2.1,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
605,1,އެޗްއާރް,ޝޯޓް ލީވް ފޮތް,,2- ޝޯޓްލީވް ރެކޯޑުތައް ދުވަހުން ދުވަހަށް ބަލަހައްޓާ,މުވައްޒަފުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން  ,5.5.2.1,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
606,1,އެޗްއާރް,ޗުއްޓީ ތާވަލު,,3- އިދާރީ މުވައްޒަފުންގެ ޗުއްޓީ ތާވަލު އަހަރު ފެށޭއިރު ހަދާ,މުވައްޒަފުންގެ ހާޒިރީއާ ގުޅޭ ކަންކަން ބެލެހެއްޓުން  ,5.5.2.1,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
607,1,އެޗްއާރް,ވަޒީފާ ބަޔާން,,1- ހުރިހައި މުވައްޒަފުންގެ ވަޒީފާ ބަޔާންތަކުގައި ސޮއިކުރުވާ އަދާހަމަކޮށްފައި ވޭ,މުވައްޒަފުންގެ ވަޒީފާ ބަޔާންތައް ބެލެހެއްޓުން ,5.5.2.2,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
608,1,އެޗްއާރް,ވަޒީފާ ބަޔާން,,2- މުވައްޒަފުންނާ ވަގުތީގޮތުން (3 މަހަށް ވުރެ ކުރު މުއްދަތަކަށް) ހަވާލުކުރެވޭ މަސްއޫލިއްޔަތުތައް ވަޒީފާ ބަޔާނާ އެއްހީރަސް ކުރޭ,މުވައްޒަފުންގެ ވަޒީފާ ބަޔާންތައް ބެލެހެއްޓުން ,5.5.2.2,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
609,1,އެޗްއާރް,ވޯކް އެލޮކޭޝަން/ވަޒީފާ ބަޔާން,,3- މުވައްޒަފުންނާ ހަވާލުކޮށްފައިވާ މަސްއޫލިއްޔަތާއި ވަޒީފާ ބަޔާނާ ދިމާ ވޭ,މުވައްޒަފުންގެ ވަޒީފާ ބަޔާންތައް ބެލެހެއްޓުން ,5.5.2.2,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
610,1,އެޗްއާރް,އެޕްރައިޒަލް,,1- އުސޫލާ އެއްގޮތަށް ޓާގެޓުތައް ކަނޑައަޅައިފައި ވޭ,މުވައްޒަފުންގެ އެޕްރައިޒަލް ފުރިހަމަކުރުން,5.5.2.3,މުވައްޒަފުންނާ ގުޅޭ ލިޔެކިޔުންތައް އަދާހަމަކޮށް ބެލެހެއްޓުން,5.5.2,ފެންވަރު 5.5: އިދާރީ އިންތިޒާމުތަައް ހަމަޖެއްސުން
661,1,އެޗް އާރު,ވަަޒީފާ ބަޔާން,,"1- ޔުނިފޯމު ހަރަކާތްތައް ހިންގުމުގެ މަސްއޫލިއްޔަތު ލިޔުމުން މުވައްޒަފަކާ ހަވާލުކޮށްފައި ވޭ
",އިންޓެލެކްޗުއަލް އެންޑް ސޯޝަލް އެކްޓިވިޓީސް (ޔުނިފޯމު ހަރަކާތްތައް) ހިންގުން,5.8.2.1,ކޯކަރިކިޔުލަރ ހަރަކާތްތައް ހިންގުން,5.8.2,ފެންވަރު 5.8: ޞިއްޙަތާއި ކުޅިވަރު ހަރަކާތްތައް ކުރިއަށް ގެންދިއުން