 ,,,Lesson Plan (Key Stage),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,LT - 1,,,,,LT - 2,,,,,LT - 3,,,,,LT - 4,,,,,LT - 5,,,,,LT - 6,,,,,LT - 7,,,,,LT - 8,,,,,LT - 9,,,,,LT - 10,,,,
IndicatorCode,Average,އައުޓްކަމް ނަމްބަރ,އައުޓްކަމް,އިންޑިކޭޓަރ,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5,LP1,LP2,LP3,LP4,LP5
131,,2.2.1.1,މަޢުލޫމާތާއި ހުނަރާއި ސިފަ ހިމަނައިގެން ލެސަން ޕްލޭންތައް ތައްޔާރުކުރުން,1- މަޢުލޫމާތު ފޯރުކޮށްދެވޭ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,2- ހުނަރުތައް ތަރައްޤީވާ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,3- ސިފަތައް އަށަގެންނެވޭ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,2.2.1.2,ލާރނިންގ އިންޓެންޝަނާއި ސަކްސެސް ކްރައިޓިރިއާ ހިމަނައިގެން ލެސަން ޕްލޭން ތައްޔާރުކުރުން,1- ލަރނިން އިންޓެންޝަން ޙާޞިލުވާ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންގައި ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,2- ސަކްސެސް ކްރައިޓީރިއާގައިވާ ކަންކަން ޙާޞިލުވާ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންގައި ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,3- ދަރިވަރުންނަށް ޙާޞިލުކުރެވޭ މިންވަރު ވަޒަންކުރެވޭ ގޮތަށް ސަކްސެސް ކްރައިޓީރިއާ އިބާރާތްކޮށްފައި ވޭ  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,2.2.1.3,މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީކުރެވޭ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންގައި ހިމަނައިފައިވުން,1- ފިލާވަޅާ ގުޅޭ ގޮތަށް މައިގަނޑު ޤާބިލިއްޔަތުތަކުގެ އިންޑިކޭޓަރތައް ހިމަނައިފައި ވޭ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,2- މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީވާ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް  ހިމަނައިފައި ވޭ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,3- އުނގަންނައިދޭ އެއްޗަކާއި ވަޒަންކުރާ އެއްޗަކާ ގުޅޭ ގޮތަށް މައިގަނޑު ޤާބިލިއްޔަތުތައް  ހިމަނައިފައި ވޭ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,2.2.1.4,ހިއްސާކުރާ އަގުތައް ތަރައްގީކުރެވޭ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންތަކުގައި ހިމަނައިފައިވުން,1- ފިލާވަޅާ ގުޅޭ ގޮތަށް ހިއްސާކުރާ އަގުތައް ހިމަނައިފައި ވޭ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,,,2- ހިއްސާކުރާ އަގުތައް އަށަގެންނެވޭ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް  ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,3- އުނގަންނައިދޭ އެއްޗަކާއި ވަޒަންކުރާ އެއްޗަކާ ގުޅޭ ގޮތަށް ހިއްސާކުރާ އަގުތައް  ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,2.2.1.5,ލެސަން ޕްލޭންގައި ފިލާވަޅާ ގުޅޭ އުނގެނުމުގެ އެހީ ހިމަނައިފައިވުން,1- އުނގެނުމުގެ އެހީ ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,2- އާންމު ދިރިއުޅުމާ ގުޅޭ އުނގެނުމުގެ އެހީ ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,3- މަޤްޞަދު ޙާޞިލުވާ ފަދަ އުނގެނުމުގެ އެހީ ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,2.2.1.6,ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް ރިއާޔަތްކޮށް ލެސަން ޕްލޭން ތައްޔާރުކުރުން,1- އައިސީޕީ ހަދާފައިވާ ދަރިވަރުންނަށް ކަނޑައަޅައިފައިވާ ގޯލްތައް ޙާޞިލުކުރެވޭ ގޮތަށް އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭނުގައި ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,2- ތަފާތު ފެންވަރުގެ ދަރިވަރުން ބައިވެރިކުރުމަށް ހަރަކާތްތައް ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,3- ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް ބައިވެރިވެވޭނެހެން މަޢުލޫމާތާއި ހުނަރު އަދި އަގުތައް (ވެލިއުސް) ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,2.2.1.7, އުނގެނުން ވަޒަންކުރުން ލެސަން ޕްލޭންތަކުގައި ހިމެނުން,1- އުނގެނުން ވަޒަންކުރާނެ ގޮތް ލެސަންޕްލޭނުގައި ހިމަނައިފައި ވޭ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,2- އުނގެނުން ވަޒަންކުރުމަށް ބޭނުންކުރާނެ ޓޫލް ހިމަނައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,3- ފެންވަރުގެ ގޮތުން ތަފާތު ދަރިވަރުން އެސެސްކުރާނެ ގޮތްތައް ހިމަނައިފައި ވޭ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,2.2.1.8,ލެސަން ޕްލޭންތަކުގައި ފިލާވަޅުގެ އެކި ބައިތައް ގެންދިއުމަށް އެކަށީގެންވާ ވަރަށް ވަގުތު ކަނޑައަޅައިފައިވުން,1- ފިލާވަޅުގެ ފެށުމަށް ވަގުތު ކަނޑައަޅައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,2-  މައިގަނޑުގެ ވަކިވަކި ހަރަކާތްތަކަށް ވަގުތު ކަނޑައަޅައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,3- ފިލާވަޅު ނިންމުމަށް ވަގުތު ކަނޑައަޅައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,