,ލިޔެކިޔުމުން ބަލާނެކަންތައްތައް - ޖެނެރަލް,,,,,,,
,ލިޓްރަސީ ނިއުމަރަސީ -  އިންޗަރޖް ލީޑިން ޓީޗަރ,,,,,,,
IndicatorCode,Score,ބަލާނެ ލިޔެކިޔުން,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StrandNo and Strand
119,1,ދަރިވަރުންގެ ލިސްޓާއި ޑައިގްނޯސްޓިކް ޓެސްޓު ނަތީޖާ,1- ދިރާސީ އަހަރު ފެށޭއިރު ދިވެހިބަހުން ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުން  ދެނެގަނެ ލިސްޓް ސްކޫލުން ތައްޔާުރުކުރޭ,ދިރާސީ އަހަރު ފެށޭއިރު  ދަރިވަރުން ޑައިގްނޯޒްކުރުމަށް ފަހު ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީގެ ހާލަތު ދެނެގަތުން ,2.1.5.1,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
120,1,ދަރިވަރުންގެ ލިސްޓާއި ޑައިގްނޯސްޓިކް ޓެސްޓް ނަތީޖާ,2- ދިރާސީ އަހަރު ފެށޭއިރު އިނގިރޭސިބަހުން ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުން ދެނެގަނެ ލިސްޓް ސްކޫލުން ތައްޔާުރުކުރޭ,ދިރާސީ އަހަރު ފެށޭއިރު  ދަރިވަރުން ޑައިގްނޯޒްކުރުމަށް ފަހު ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީގެ ހާލަތު ދެނެގަތުން ,2.1.5.1,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
121,1,ދަރިވަރުންގެ ލިސްޓާއި ޑައިގްނޯސްޓިކް ޓެސްޓް ނަތީޖާ,3- ދިރާސީ އަހަރު ފެށޭއިރު ހިސާބު ޢިލްމުގެ ހުނަރުތައް ނޭނގޭ ދަރިވަރުން ދެނެގަނެ ލިސްޓް ސްކޫލުން ތައްޔާުރުކުރޭ,ދިރާސީ އަހަރު ފެށޭއިރު  ދަރިވަރުން ޑައިގްނޯޒްކުރުމަށް ފަހު ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީގެ ހާލަތު ދެނެގަތުން ,2.1.5.1,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
122,1,ހިންގާ ހަރަކާތްތަކުގެ ލިޔެކިޔުންތައް (ލިސްޓް/ފައިލް/ޝެޑިއުލް),1- ދިވެހިބަހުން ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުންނަށް ރާވައިގެން ހަރަކާތްތަކެއް ހިންގާ,ލިޓްރަސީ ނިއުމަރަސީގެ ހުނަރު ތަރައްގީކުރުމަށް ރާވައިގެން ހަރަކާތްތައް ހިންގުން,2.1.5.2,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
123,1,ހިންގާ ހަރަކާތްތަކުގެ ލިޔެކިޔުންތައް (ލިސްޓް/ފައިލް/ޝެޑިއުލް),2- އިނގިރޭސިބަހުން ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުންނަށް  ރާވައިގެން ހަރަކާތްތަކެއް ހިންގާ ,ލިޓްރަސީ ނިއުމަރަސީގެ ހުނަރު ތަރައްގީކުރުމަށް ރާވައިގެން ހަރަކާތްތައް ހިންގުން,2.1.5.2,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
124,1,ހިންގާ ހަރަކާތްތަކުގެ ލިޔެކިޔުންތައް (ލިސްޓް/ފައިލް/ޝެޑިއުލް),3- ހިސާބު ޢިލްމުގެ ހުނަރުތައް ނޭނގޭ ދަރިވަރުންނަށް ރާވައިގެން ހަރަކާތްތަކެއް ހިންގާ,ލިޓްރަސީ ނިއުމަރަސީގެ ހުނަރު ތަރައްގީކުރުމަށް ރާވައިގެން ހަރަކާތްތައް ހިންގުން,2.1.5.2,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
126,1,ކުރިއަރަމުންދާ މިންވަރު ފެންނަ ލިޔެކިއުންތައް ,2- ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު މޮނީޓަރކޮށް ބަލަހައްޓާ,ނެޝަނަލް ލިޓްރެސީ އެންޑް މެތެމެޓިކްސް ސްޓްރެޓެޖީ ތަންފީޒުކުރުން,2.1.5.3,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
127,1, ޔައުމިއްޔާ /ހާޒިރީ / ހިއްސާކުރުމަށް ތައްޔާރުކުރި އެސެސްމެންޓް ރިކޯޑް ޝީޓް ,3- ލިޔަންކިޔަން ނޭނގޭ ދަރިވަރުން ކުރިއަރަމުންދާ މިންވަރު ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ނެޝަނަލް ލިޓްރެސީ އެންޑް މެތެމެޓިކްސް ސްޓްރެޓެޖީ ތަންފީޒުކުރުން,2.1.5.3,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
128,1," - އެންރިޗްމަންޓް ބޭނުންވާ ދަރިވަރުންގެ ލިސްޓު
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޝެޑިއުލް
-ހާޒިރީ",4- ވަކި ޕްލޭނެއްގެ ދަށުން އެންރިޗްމެންޓް  ޕްރޮގްރާމުތައް ގެންދޭ,ނެޝަނަލް ލިޓްރެސީ އެންޑް މެތެމެޓިކްސް ސްޓްރެޓެޖީ ތަންފީޒުކުރުން,2.1.5.3,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
129,1," - ރިމީޑިއަލް ބޭނުންވާ ދަރިވަރުންގެ ލިސްޓު
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޝެޑިއުލް
-ހާޒިރީ
- ރިމީޑިއަލް ކުލާސްތަކުގައި ދޭ މަސައްކަތްތައް",5- ވަކި ޕްލޭނެއްގެ ދަށުން ރިމީޑިއަލް ޕްރޮގްރާމުތައް ގެންދޭ,ނެޝަނަލް ލިޓްރެސީ އެންޑް މެތެމެޓިކްސް ސްޓްރެޓެޖީ ތަންފީޒުކުރުން,2.1.5.3,ކީ ސްޓޭޖު 1 އަދި 2ގެ ދަރިވަރުންގެ ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން,2.1.5,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
107,1,-ޕޯޓްފޯލިޔޯ / ޗެކުލިސްޓް,3- ޔޫކޭޖީ ނިންމައި ގްރޭޑް 1އަށް ދާ ދަރިވަރުންނަށް މުގައްރަރުގައި ކަނޑައަޅައިފައިވާ މިންވަރު ދަރިވަރުންނަށް ޙާޞިލުކޮށްދެވިފައިވާކަން ކަށަވަރުކުރޭ,ޔޫކޭޖީގެ ދަރިވަރުންނަށް ލިޔަންކިޔަން އެނގޭ މިންވަރު ދެނެގަތުމާއި އަޅަންޖެހޭ ފިޔަވަޅުތައް އެޅުން,2.1.4.2,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
108,1,"
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( ރީޑިންޕްރޮގްރާމް، ވާހަކަ ކިުޔން ފަދަ )",1- ދިވެހިބަހުން ވާހަކަ ދެއްކުމާއި އަޑުއެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުމަށް ތަފާތު ހަރަކާތް ހިންގާ,ދިވެހިބަހުން ވާހަކަ ދެއްކުމާއި އަޑުއެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.3,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
109,1," 
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( ރީޑިންޕްރޮގްރާމް، ވާހަކަ ކިުޔން ފަދަ )",2- ދިވެހިބަހުން ލިޔުމާއި ކިޔުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުމަށް ހަރަކާތް ހިންގާ,ދިވެހިބަހުން ވާހަކަ ދެއްކުމާއި އަޑުއެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.3,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
110,1," 
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( ރީޑިންޕްރޮގްރާމް، ވާހަކަ ކިުޔން ފަދަ )",3- ދިވެހިބަހުގެ ލިޔުންތެރިކަމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ތަރައްގީކޮށްދިނުމަށް ހަރަކާތް ހިންގާ,ދިވެހިބަހުން ވާހަކަ ދެއްކުމާއި އަޑުއެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.3,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
111,1,"
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( ރީޑިންޕްރޮގްރާމް، ވާހަކަ ކިުޔން ފަދަ )",1- އިނގިރޭސިބަހުން ވާހަކަ ދެއްކުމާއި އަޑުއެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުމަށް ތަފާތު ހަރަކާތް ހިންގާ,އިނގިރޭސިބަހުން ވާހަކަ ދެއްކުމާއި އަޑުއެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.4,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
112,1," 
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( ރީޑިންޕްރޮގްރާމް، ވާހަކަ ކިުޔން ފަދަ )",2- އިނގިރޭސިބަހުން ކިޔުމާއި ބެލުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުމަށް ތަފާތު ހަރަކާތް ހިންގާ,އިނގިރޭސިބަހުން ވާހަކަ ދެއްކުމާއި އަޑުއެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.4,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
113,1," 
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( ރީޑިންޕްރޮގްރާމް، ވާހަކަ ކިުޔން ފަދަ )",3- އިނގިރޭސިބަހުގެ ލިޔުންތެރިކަމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ތަރައްގީކޮށްދިނުމަށް ތަފާތު ހަރަކާތް ހިންގާ,އިނގިރޭސިބަހުން ވާހަކަ ދެއްކުމާއި އަޑުއެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.4,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
114,1,"
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( މެތްޑޭ، ގޭމް  ފަދަ )",1- ހިސާބު އަދަދާއި އަލްޖިބްރާގެ ހުނަރުތައް ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުމަށް ތަފާތު ހަރަކާތް ހިންގާ,ހިސާބު އަދަދާއި އަލްޖިބްރާގެ ހުނަރުތަކާއި މިންކުރުމާއި ޖިއޮމެޓްރީގެ ހުނަރުތަކާއި ހިސާބުޖެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.5,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
115,1,ޗެެކްލިސްޓު / ޕޯޓްފޯލިޔޯ ,2- ހިސާބު އަދަދާއި އަލްޖިބްރާގެ ހުނަރުތައް ދަރިވަރުންނަށް އެނގެން ޖެހޭ މިންވަރު ޙާޞިލުވެފައިވާކަން ބަލައި ކަށަވަރުކުރޭ,ހިސާބު އަދަދާއި އަލްޖިބްރާގެ ހުނަރުތަކާއި މިންކުރުމާއި ޖިއޮމެޓްރީގެ ހުނަރުތަކާއި ހިސާބުޖެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.5,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
116,1,"
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( މެތްޑޭ، ގޭމް  ފަދަ )",3- މިންކުރުމާއި ޖިއޮމެޓްރީގެ ހުނަރުތައް ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުމަށް ތަފާތު ހަރަކާތް ހިންގާ,ހިސާބު އަދަދާއި އަލްޖިބްރާގެ ހުނަރުތަކާއި މިންކުރުމާއި ޖިއޮމެޓްރީގެ ހުނަރުތަކާއި ހިސާބުޖެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.5,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
117,1,ޗެެކްލިސްޓު / ޕޯޓްފޯލިޔޯ ,4- މިންކުރުމާއި ޖިއޮމެޓްރީގެ ހުނަރުތައް ދަރިވަރުންނަށް އެނގެން ޖެހޭ މިންވަރު ޙާޞިލުވެފައިވާކަން ބަލައި ކަށަވަރުކުރޭ,ހިސާބު އަދަދާއި އަލްޖިބްރާގެ ހުނަރުތަކާއި މިންކުރުމާއި ޖިއޮމެޓްރީގެ ހުނަރުތަކާއި ހިސާބުޖެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.5,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު
118,1," -އިތުރަށް އެހީތެރިކަން ބޭނުންވާ ދަރިވަރުންގެ ލިސްޓު
- އެހީ ދޭނެ ގޮތުގެ ޕްލޭން ( ވަކިވަކި ދަރިވަރުންނަށް ބޭނުންވާ އެހީތެރިކަން އެނގޭގޮތަށް)
- ޔުނިޓްޕްލޭން
- ހާއްސކޮށް ގެންދާ ހަރަކާތް ( މެތްޑޭ، ގޭމް  ފަދަ )",5- ހިސާބުޖެހުމުގައި ގެންގުޅޭ ހުނަރުތައް ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުމަށް ތަފާތު ހަރަކާތް ހިންގާ,ހިސާބު އަދަދާއި އަލްޖިބްރާގެ ހުނަރުތަކާއި މިންކުރުމާއި ޖިއޮމެޓްރީގެ ހުނަރުތަކާއި ހިސާބުޖެހުމުގެ ހުނަރު ދަރިވަރުންގެ ކިބައިގައި ހަރުލެއްވުން,2.1.4.5,ލިޓްރަސީ ނިއުމަރަސީ ހަރުދަނާކުރުން(ފައުންޑޭޝަން ސްޓޭޖް),2.1.4,ފެންވަރު 2.1: އުނގެނުމާއި އުނގަންނައިިދިނުމުގެ ކަންކަން މޮނީޓަރކުރުމަށް ގާއިމުކޮށްފައިވާ ނިޒާމު