IndicatorCode,ސުވާލުކުރާނެ ފަރާތް/Informant/Interviiewee/stakeholder,ބަލާނެ ލިޔެކިޔުން/Evidence,General Observations,Indicators,Outcomes,OutcomeNo,Substrand,SubstrandNo,StarndNo and Strand
33,ސެން އެލްޓީ,ހިއްސާކުރި ލިޔުމެއް/ މެއިލްއެއް,,"3- ކޮމްޕްލެކްސް ލާނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންގެ ތެރެއިން އިތުރު ވަސީލަތްތައް/އެހީ ބޭނުންވާ ދަރިވަރުންގެ މަޢުލޫމާތު، މިނިސްޓްރީއާ ހިއްސާކޮށްފައި ވޭ


 ",ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ހޯދުން,1.2.2.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް ބޭނުންވާ ވަސީލަތްތައް ޤާއިމުކުުރުން,1.2.2,ފެންވަރު 1.2: އެހީތެރިވެދިނުމުގެ ނިޒާމު (ރިފަރަލް ނިޒާމު) ގާއިމުކުރުން
35,އެލްޓީ/ސެން އެލްޓީ,އެފަދަ ދަރިވަރުންގެ ލިސްޓެއް,,"1- ސްކޫލަށް ހާޒިރުވުމުގައި ކޮންސިސްޓެންސީ ނުހުންނަ ދަރިވަރުންގެ މަޢުލޫމާތު ކްލާސް ޓީޗަރުން ސްކޫލުގެ ވެރިންނަށް ފޯރުކޮށްދޭ
",ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން ދެނެގަތުން,1.3.1.1,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
36,އެލްޓީ/ސެން އެލްޓީ,އެެފަދަ ދަރިވަރުންގެ ލިސްޓު ސަބަބާއެކު,,"2- ޚާއްޞަ ހާލަތްތައް ދިމާވެގެން ސްކޫލަށް ހާޒިރުނުވާ ދަރިވަރުން، ސަބަބު އެނގޭނެހެން ދެނެގަނޭ
",ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން ދެނެގަތުން,1.3.1.1,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
37,އެލްޓީ/ސެން އެލްޓީ,އެެފަދަ ދަރިވަރުންގެ ހާޒިރީ,,"3- ޚާއްޞަ ހާލަތްތައް ދިމާވެގެން  ސްކޫލަށް ހާޒިރުނުވާ ދަރިވަރުންގެ ރެކޯޑުތައް ބަލަހައްޓާ
",ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން ދެނެގަތުން,1.3.1.1,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
38,އެލްޓީ/ސެން އެލްޓީ,އެކަން އެނގޭ ލިޔުމެއް/ ޔައުމިއްޔާ/ޕީޕީޓީ,,1- ދިމާވާ ހާލަތެއްގެ ސަބަބުން ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ގެއްލޭ ފިލާވަޅުތައް ފޯރުކޮށްދޭނެ ގޮތެއް ހަމަޖައްސައިފައި ވޭ, ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
39,އެލްޓީ/ސެން އެލްޓީ,ފޯރުކޮށްދޭކަން އެނގޭ ހެއްކެއް/ ނަގައިދިން ފިލާވަޅު އެނގޭ ލިޔުމެއް ,,2- ދާއިމީ ނުކުޅެދުންތެރިކަމެއްގެ ސަބަބުން ސްކޫލަށް ހާޒިރުނުވެވޭ ދަރިވަރުންނަށް ތަޢުލީމު ފޯރުކޮށްދޭ , ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
40,އެލްޓީ/ސެން އެލްޓީ/ކައުންސެލަރ,އެފަދަ ދަރިވަރުންގެ ލިސްޓް/ގައިޑެންސް/ކައުންސެލިން ފޯރުކޮށްދީފައިވާ ކޭސް ނޯޓްސް,,3- ސްކޫލުން ވަކިވެދާނެކަމުގެ ބިރު ހީވާ ދަރިވަރުންނަށް ގައިޑެންސް ފޯރުކޮށްދޭ, ޚާއްސަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1.3.1.2,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
41,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,,1- ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނާ މެދު ސްކޫލް މުވައްޒަފުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
42,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,,"2- ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނާ މެދު ބެލެނިވެރިން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
"," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
43,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,,"3- ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުންނާ މެދު އެހެނިހެން ދަރިވަރުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
"," ދައުލަތުގެ ބެލުމުގެ ދަށުގައި ތިބި ދަރިވަރުން ބަލައިގަތުން
 ",1.3.1.3,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
44,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,,"1- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު ސްކޫލް މުވައްޒަފުން ދެކޭގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
45,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,,"2- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު ބެލެނިވެރިން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
46,ޕްރިންސިޕަލް/ޑެޕިއުޓީ ޕްރިންސިޕަލް,ހިންގައިފައިވާ ހަރަކާތްތައް/ޔައުމިއްޔާ/ހާޒިރީ,,"3- ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާ މެދު އެހެނިހެން ދަރިވަރުން ދެކޭ ގޮތް ރަނގަޅުކުރުމަށް މަސައްކަތްކުރޭ
",ނުކުޅެދުންތެރިކަން ހުންނަ ދަރިވަރުންނާމެދު ދެކޭ ގޮތް ރަނގަޅުކުުރުން,1.3.1.4,ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން  ދެނެގަތުމާއި އުނގަންނައިދިނުން,1.3.1,ފެންވަރު 1.3: ޚާއްޞަ ހާލަތްތައް ދިމާވެފައިވާ ދަރިވަރުން
48,ސެން އެލްޓީ,އައި ސީ ޕީތައް/ގައިޑުލައިން,,1- އައިސީޕީ ގައިޑްލައިނަށް ރިޢާޔްތްކޮށްގެން އައި ސީ ޕީ ތައްޔާރުކޮށްފައި ވޭ,ބޭނުންވާ ދަރިވަރުންނަށް އައި ސީ ޕީ ތައްޔާރުކުރުން,1.4.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
49,ސެން އެލްޓީ,އައި ސީ ޕީ ޓީމުގެ ހުރިހައި ފަރާތްތަކުން ސޮއިކޮށްފައިވާ އައިސީޕިތައް,,2-  އައިސީޕީ ޓީމުގެ ލަފަޔާއި އިރުޝާދާ އެއްގޮތަށް އައި ސީ ޕީތައް ފައިނަލުކޮށްފައި ވޭ,ބޭނުންވާ ދަރިވަރުންނަށް އައި ސީ ޕީ ތައްޔާރުކުރުން,1.4.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
50,ސެން އެލްޓީ,އައި ސީ ޕީ ޓީމުގެ ހުރިހައި ފަރާތްތަކުން ސޮއިކޮށްފައިވާ އައި ސީ ޕިތައް,,3- ކޮންމެ 6 މަހަކުން އައި ސީ ޕީ އަދާހަމަކޮށް، ބެލެނިވެރިންނާ ހިއްސާކުރޭ,ބޭނުންވާ ދަރިވަރުންނަށް އައި ސީ ޕީ ތައްޔާރުކުރުން,1.4.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
51,ސެން އެލްޓީ,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,,1- މެއިންސްޓްރީމް ނުކުރެވޭ ދަރިވަރުންނަށް އުނގަންނައިދިނުމަށް އައި ސީ ޕީ ބޭނުންކުރޭ,އުނގަންނައިިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން ,1.4.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
52,ސެން އެލްޓީ,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,,2- މެއިންސްޓްރީމްކޮށްފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުމަށް އައި ސީ ޕީ ބޭނުންކުރޭ,އުނގަންނައިިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން ,1.4.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
53,ސެން އެލްޓީ,ސްޓޫޑެންޓްސް ވިތް ކޮމްޕްލެކްސް ލާނިންގ ޕްރޮފައިލް(އެސް ސީ އެލް ޕީ)ގައި ހިމެނޭ ދަރިވަރުންގެ ލިސްޓް/އަައިސީޕީތައް,,3- އުނގެނުމުގައި  ތޫނުފިލި އަދި ހުނަރުވެރި ދަރިވަރުންނަށް އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރޭ,އުނގަންނައިިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން ,1.4.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުންނަށް  އުނގަންނައިދިނުމުގައި އައި ސީ ޕީ ބޭނުންކުރުން,1.4.1,ފެންވަރު 1.4: ކޮމްޕްލެކްސް ލާނިންގް ޕްރޮފައިލް  (SCLP)ލިބިފައިވާ ދަރިވަރުންނަށް އުނގަންނައިދިނުން
55,އެލްޓީ,ބައިވެރިކުރާ ކަމުގެ ހެއްކެއް/ލިޔުމެއް,,1- ދަރިވަރުންގެ ލީޑަރޝިޕާ ގުޅޭ ކަންކަން ރޭވުމުގައި ދަރިވަރުން ބައިވެރިކުރުމާ ގުޅޭ އުސޫލެއް އޮވޭ, އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ދަރިވަރުންނަށް ހޯދައިދިނުން,1.5.1.1,އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ހޯދައިދިނުން ,1.5.1,ފެންވަރު 1.5: އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުޞަތު
56,"ދަރިވަރުންގެ ސުވާލު ކަރުދާސް،
އެލްޓީ",ބައިވެރިކުރާ ކަމުގެ ހެއްކެއް/ލިޔުމެއް,,2- ދަރިވަރުންގެ ލީޑަރޝިޕާ ގުޅޭ ކަންކަން ރޭވުމުގައި ދަރިވަރުން ބައިވެރިކުރޭ, އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ދަރިވަރުންނަށް ހޯދައިދިނުން,1.5.1.1,އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ހޯދައިދިނުން ,1.5.1,ފެންވަރު 1.5: އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުޞަތު
57,އެލްޓީ,ހޯދައިދޭކަމުގެ ހެއްކެއް/އެސްއޯޕީ,,3- އުނގެނުމުގައި ޚާއްޞަ އެހީއަށް ބޭނުންވާ ދަރިވަރުންނަށް ޙަރަކާތްތަކުގައި އިސްދައުރެއް އަދާކުރުމުގެ ފުރުސަތު ދޭ, އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ދަރިވަރުންނަށް ހޯދައިދިނުން,1.5.1.1,އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުސަތު ހޯދައިދިނުން ,1.5.1,ފެންވަރު 1.5: އިސްކޮށް ޙަރަކާތްތެރިވުމުގެ ފުރުޞަތު
59,ސެން އެލްޓީ,ދަރިވަރުންގެ ލިސްޓު/ޕޯޓަލް,,1- ދަރިވަރުންގެ ލިސްޓް ތައްޔާރުކޮށްފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުން ދެނެގަތުން,1.6.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
60,ސެން އެލްޓީ,ދަރިވަރުންގެ ލިސްޓު,,2- ދަރިވަރުންނަށް އެހީތެރިކަން ބޭނުންވާ ދާއިރާތައް ފާހަގަކޮށްފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުން ދެނެގަތުން,1.6.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
61,ސެން އެލްޓީ,"- ޔައުމިއްޔާ
- ހާޒިރީ",,3- ދަރިވަރުންގެ މަޢުލޫމާތު ގުޅުންހުރި މުދައްރިސުންނާއި ބެލެނިވެރިންނާ ހިއްސާކޮށްފައި ވޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ ދަރިވަރުން ދެނެގަތުން,1.6.1.1,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
62,ސެން އެލްޓީ,ޓްރާންސިޝަން ރިޕޯޓް,,1- ދަރިވަރުންގެ މަޢުލޫމާތު އެއް ގްރޭޑުން އަނެއް ގްރޭޑަށް ފޯރުކޮށްދެވޭނެ ޓްރާންސިޝަން ޕްރޮފައިލް ބޭނުންކުރޭ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,1.6.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
63,ސެން އެލްޓީ,ޔައުމިއްޔާ/ ހާޒިރީ ,,2- ބެލެނިވެރިންނާ އެކު ބާއްވާ ބައްދަލުވުންތަކުގެ ލިޔެކިޔުންތައް ބަލަހައްޓާ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,1.6.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން
64,ސެން އެލްޓީ,އެފަދަ ދަރިވަރުންގެ ލިސްޓް/ ފޯރުކޮށްދީފައިވާ އެހީތެރިކަމާ ގުޅުންހުރި ލިޔެކިއުންތައް,,3- ސްކޫލަށް ހާޒިރުނުވެވޭ ފަދަ ހާލަތެއް ދިމާވެފައިވާ ދަރިވަރުންނަށް ފޯރުކޮށްދޭ އެހީތެރިކަމާ ގުޅޭ ރެކޯޑުތައް ބަލަހައްޓާ,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ ލިޔެކިޔުންތައް ބެލެހެއްޓުން,1.6.1.2,ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން ,1.6.1,ފެންވަރު 1.6: ކޮމްޕްލެކްސް ލަރނިން ޕްރޮފައިލްގައި ހިމެނޭ  ދަރިވަރުންނާ ގުޅޭ މަޢުލޫމާތު ބެލެހެއްޓުން