,,,,Classroom Obervations (Foundation),T1,,T2,,T3,,T4,,T5,
IndicatorCode,Average,OutcomeNo,Outcomes,Indicators,LO1,LO2,LO1,LO2,LO1,LO2,LO1,LO2,LO1,LO2
238,,2.3.2.1,ފިލާވަޅުގައި ރަނގަޅު ފެށުމެއް ގެނައުން,1- ދަރިވަރުން ޝައުޤުވެރިވާ ފަދަ ފެށުމެއް ގެނޭ,,,,,,,,,,
239,,2.3.2.1,ފިލާވަޅުގައި ރަނގަޅު ފެށުމެއް ގެނައުން,2- ލާނިންގ އިންޓެންޝަން ދަރިވަރުންނާ ހިއްސާކުރޭ,,,,,,,,,,
240,,2.3.2.1,ފިލާވަޅުގައި ރަނގަޅު ފެށުމެއް ގެނައުން,3- ސަކްސެސް ކްރައިޓީރިއާ ދަރިވަރުންނާ ހިއްސާކުރޭ,,,,,,,,,,
241,,2.3.3.1,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  ކްލާސްރޫމް ތައްޔާރުކުރުން,1- އުނގަންނައިިދިނުމަށް ފަހިވާ ގޮތަށް ކްލާސްރޫމްގައި ފަރުނީޗަރު އަތުރައިފައި ވޭ,,,,,,,,,,
242,,2.3.3.1,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  ކްލާސްރޫމް ތައްޔާރުކުރުން,2- ލައިޓްތަކުގެ އަލި އެކަށީގެންވާ މިންވަރަށް (މާ އަލިގަދަ ނޫން، އަނދިރި ވެސް ނޫން) ބަހައްޓައިފައި ވޭ,,,,,,,,,,
243,,2.3.3.1,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  ކްލާސްރޫމް ތައްޔާރުކުރުން,3- ދަރިވަރުންގެ އެންމެ ފަހުގެ މަސައްކަތްތައް ކުލާސްރޫމުގައި ފެންނާނެހެން ބަހައްޓައިފައި ވޭ,,,,,,,,,,
244,,2.3.3.2,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން- އިޖުތިމާޢީ އަދި ޖަޒުބާތީ ގޮތުން ފަހި މާޙައުލު,1- ހުރިހައި ދަރިވަރުންނަށް ބައިވެރިވެވޭގޮތަށް ހަރަކާތްތައް ގެންދޭ,,,,,,,,,,
245,,2.3.3.2,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން- އިޖުތިމާޢީ އަދި ޖަޒުބާތީ ގޮތުން ފަހި މާޙައުލު,2- ދަރިވަރުންނަށް ޚިޔާލު ފާޅުކުރުމަށް ހިތްވަރުދޭ,,,,,,,,,,
246,,2.3.3.2,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން- އިޖުތިމާޢީ އަދި ޖަޒުބާތީ ގޮތުން ފަހި މާޙައުލު,3- ދަރިވަރުންގެ މެދުގައި ތަފާތުކުރުމެއް ނެތި ހަމަހަމަކަމާ އެކު ފިލާވަޅު ގެންދޭ,,,,,,,,,,
247,,2.3.3.2,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން- އިޖުތިމާޢީ އަދި ޖަޒުބާތީ ގޮތުން ފަހި މާޙައުލު,4- ދަރިވަރުންނަށް ތަފާތު ޢިބާރާތްތަކާއި ގޮތްތައް ބޭނުންކޮށްގެން ތަރުހީބުދޭ,,,,,,,,,,
248,,2.3.3.2,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން- އިޖުތިމާޢީ އަދި ޖަޒުބާތީ ގޮތުން ފަހި މާޙައުލު,5- ދަރިވަރުންނާ މުދައްރިސާ ދެމެދު ރަނގަޅު ގުޅުމެއް ބާއްވާ,,,,,,,,,,
249,,2.3.3.3,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  އެކަޑަމިކް  މާޙައުލު,1- މުދައްރިސްގެ ކިބައިގައި، އުނގަންނައިދިނުމަށް ބޭނުންކުރާ ބަހުގެ ޤާބިލުކަން (ލޭންގްއޭޖް ކޮމްޕިޓެންސީ) ހުރޭ,,,,,,,,,,
250,,2.3.3.3,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  އެކަޑަމިކް  މާޙައުލު,2- މުދައްރިސުގެ ކިބައިގައި ފިލާވަޅާ ގުޅޭ މައުލޫމާތާއި ހުނަރު ހުރޭ,,,,,,,,,,
251,,2.3.3.3,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  އެކަޑަމިކް  މާޙައުލު,3- މުޅި ފިލާވަޅުގައި ދަރިވަރުންގެޝައުޤުވެރިކަން ދަމަހައްޓާ,,,,,,,,,,
252,,2.3.3.3,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  އެކަޑަމިކް  މާޙައުލު,4- ފިލާވަޅުގެ ހަރަކާތްތައް ކުރިއަށް ގެންދިއުމުގައި ވަގުތުގެ ބޭނުން އެދެވޭ ގޮތުގައި ހިފާ,,,,,,,,,,
253,,2.3.3.3,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  އެކަޑަމިކް  މާޙައުލު,5- މުދައްރިސްގެ ކިބައިން ޔަގީންކަމާއި އިތުބާރު ފެނޭ,,,,,,,,,,
254,,2.3.3.3,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  އެކަޑަމިކް  މާޙައުލު,6- ބިނާކުރަނިވި ފާޑުކިޔުމާ އެކު ތަރުހީބުދޭ,,,,,,,,,,
255,,2.3.3.3,އުނގެނުމަށް ފަހި މާހައުލެއް ގާއިމުކުރުން -  އެކަޑަމިކް  މާޙައުލު,7- ކުލާހުގައި ޢަމަލުކުރުމަށް ކަނޑައަޅައިފައިވާ ރިވެތި އާދަތަކާއި ޤަވާޢިދުތައް ތަންފީޒުކުރޭ,,,,,,,,,,
256,,2.3.3.4,ކުރިން އެނގިފައިވާ މަޢުލޫމާތު ފިލާވަޅާ ގުޅުވުން,1- ދަރިވަރުންނަށް ކުރިން އެނގިފައިވާ މަޢުލޫމާތު ދެނެގަނޭ,,,,,,,,,,
257,,2.3.3.4,ކުރިން އެނގިފައިވާ މަޢުލޫމާތު ފިލާވަޅާ ގުޅުވުން,2- ދަރިވަރުންނަަށް ކުރިން އެނގިފައިވާ މަޢުލޫމާތު، އަލަށް އުނގެނޭ އެއްޗަކާ ގުޅުވައިލުމަށް މަގުފަހިކޮށްދޭ,,,,,,,,,,
258,,2.3.3.4,ކުރިން އެނގިފައިވާ މަޢުލޫމާތު ފިލާވަޅާ ގުޅުވުން,3- ދަރިވަރުން އަލަށް އުނގެނޭ މަޢުލޫމާތު ބޭނުންކޮށްގެން އައު މަޢުލޫމާތު އުފެއްދުމަށް ފުރުސަތު ދޭ,,,,,,,,,,
259,,2.3.3.5,މާނަހުރި ގޮތެއްގައި އުނގަންނައިދިނުން,1- އާންމު ދިރިއުޅުމާ ގުޅުވައިގެން ފިލާވަޅު ކުރިއަށް ގެންދޭ,,,,,,,,,,
260,,2.3.3.5,މާނަހުރި ގޮތެއްގައި އުނގަންނައިދިނުން,2- ކިޔަވައިދޭ އެއްޗަކާ/ހާލަތާ ގުޅުވައިގެން (ކޮންޓެކްސްޗުއަލައިޒްކޮށްގެން) ފިލާވަޅު ގެންދޭ,,,,,,,,,,
261,,2.3.3.5,މާނަހުރި ގޮތެއްގައި އުނގަންނައިދިނުން,3- ފިލާވަޅާ ގުޅޭ ގޮތުން ދަރިވަރުންނަށް ލިބިފައިވާ ރަނގަޅުނޫން މަޢުލޫމާތުތައް  (މިސްކޮންސެޕްޝަންސް) ދެނެގަނެ، ރަނގަޅަށް އޮޅުންފިލުވައި ދޭ,,,,,,,,,,
262,,2.3.3.5,މާނަހުރި ގޮތެއްގައި އުނގަންނައިދިނުން,4- ދަރިވަރުންނަށް ނަގައިގަނެވޭ މިންވަރަށް (ލާނިންގ ޕޭސް) އުނގެނުމުގެ ހަރަކާތްތައް ކުރިޔަށް ގެންދޭ,,,,,,,,,,
263,,2.3.3.5,މާނަހުރި ގޮތެއްގައި އުނގަންނައިދިނުން,5- ފިލާވަޅާ ގުޅޭ އުނގެނުމުގެ އެހީ (އެޑިޔުކޭޝަނަލް ޓެކްނޮލޮޖީ، އަސްލު ތަކެތި ފަދަ)  ބޭނުންކުރޭ,,,,,,,,,,
264,,2.3.3.6,ރިފްލެކްޓިވް ޕްރެކްޓިސް,1- ފިލާވަޅުން ދަސްވި އެއްޗަކާ މެދު އަލުން ވިސްނުމަށް ދަރިވަރުންނަށް ފުރުސަތުދޭ,,,,,,,,,,
265,,2.3.3.6,ރިފްލެކްޓިވް ޕްރެކްޓިސް,2- އިތުރަށް ދަސްކުރަންޖެހެނީ ކޮންއެއްޗެއް ކަމާއި ދަސްކުރުމަށް ޓަކައި ކުރަންޖެހެނީ ކޮން ކަންތައްތަކެއްކަން ވިސްނުމަށް ދަރިވަރުންނަށް ފުރުސަތުދޭ,,,,,,,,,,
266,,2.3.3.6,ރިފްލެކްޓިވް ޕްރެކްޓިސް,3- ގުޅިގެން މަސައްކަތް ކުރާ އިރު، މަޝްވަރާކުރެވުނު ކަންތައްތަކާއި ދިމާވި މައްސަލަތައް އަދި އެ މައްސަލަތަކަށް ހައްލު ހޯދި ގޮތާމެދު ވިސްނަން ދަރިވަރުންނަށް ފުރުސަތުދޭ,,,,,,,,,,
267,,2.3.3.7,ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,1- ތަފާތު ގޮތްތައް ބޭނުންކޮށްގެން އުނގަންނައިދިނުން ކުރިއަށް ގެންދޭ,,,,,,,,,,
268,,2.3.3.7,ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,2- ފިލާވަޅާ ގުޅޭ ތަފާތު މިސާލުތައް ބޭނުންކޮށްގެން އުނގަންނައިދިނުން ކުރިއަށް ގެންދޭ,,,,,,,,,,
269,,2.3.3.7,ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,3- ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް ބައިވެރިވެވޭނެހެން މަޢުލޫމާތާއި ހުނަރު އަދި އަގުތައް (ވެލިއުސް) ހިމަނައިގެން ފިލާވަޅުތައް ގެންދޭ,,,,,,,,,,
270,,2.3.3.7,ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,4- ފެންވަރުގެ ގޮތުން ތަފާތު ދަރިވަރުންނަށް އުނގަންނައިދިނުމުގައި، އެ ދަރިވަރުންގެ ފެންވަރަށް ރިޢާޔަތްކޮށްގެން ހަރަކާތްތައް ކުރިއަށް ގެންދޭ,,,,,,,,,,
271,,2.3.3.7,ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް އުނގަންނައިދިނުން,5- ދަރިވަރުންގެ ހާލަތަށް ރިއާޔަތްކޮށް  އުނގަންނައިދިނުމުގެ ކަންކަން ގެންދޭ,,,,,,,,,,
272,,2.3.4.1,ސުވާލުކުރުން,1- ތަފާތު ފެންވަރުގެ ސުވާލުކުރޭ,,,,,,,,,,
273,,2.3.4.1,ސުވާލުކުރުން,2- ދަރިވަރުން ދޭ ޖަވާބާ ގުޅުވައިގެން އިތުރު ސުވާލުކުރޭ (ޕްރޯބިން),,,,,,,,,,
274,,2.3.4.1,ސުވާލުކުރުން,3- ސުވާލުތަކަށް ޖަވާބުދިނުމަށް އެކަށީގެންވާ ވަގުތުދޭ,,,,,,,,,,
275,,2.3.4.1,ސުވާލުކުރުން,4- ޖަވާބު ދިނުމަށް މަގުފަހިކުރުމުގެ ގޮތުން، ސުވާލުކުރުމުގައި ތަފާތު ގޮތްތަކާއި އިބާރާތްތައް ބޭނުންކުރޭ,,,,,,,,,,
276,,2.3.4.1,ސުވާލުކުރުން,5- ފިލާވަޅާ ގުޅޭގޮތުން ސުވާލުކުރުމުގެ ފުރުޞަތު ދަރިވަރުންނަށް ފަހިކޮށްދޭ,,,,,,,,,,
277,,2.3.5.1,ދަރިވަރުން ބައިވެރިކުރުވުމާއި މުއާމަލާތުކުރުވުން,1- ދަރިވަރުންގެ ސަމާލުކަން ހޯދުމަށް މަސައްކަތްކުރޭ,,,,,,,,,,
278,,2.3.5.1,ދަރިވަރުން ބައިވެރިކުރުވުމާއި މުއާމަލާތުކުރުވުން,2- ޕެއަރ/ގްރޫޕްތަކުގައި މަސައްކަތްކުރުމަށް ދަރިވަރުންނަށް ފުރުސަތުދޭ,,,,,,,,,,
279,,2.3.5.1,ދަރިވަރުން ބައިވެރިކުރުވުމާއި މުއާމަލާތުކުރުވުން,3- އިސްނަގައިގެން ކަންކަން ކުރުމަށް ދަރިވަރުންނަށް ފުރުސަތުދޭ,,,,,,,,,,
280,,2.3.5.1,ދަރިވަރުން ބައިވެރިކުރުވުމާއި މުއާމަލާތުކުރުވުން,4- ޚިޔާލު ފާޅުކުރުމަށް ދަރިވަރުންނަށް ހިތްވަރުދޭ,,,,,,,,,,
281,,2.3.5.1,ދަރިވަރުން ބައިވެރިކުރުވުމާއި މުއާމަލާތުކުރުވުން,5- މުޢާމަލާތުކުރުމުގެ ހުނަރުތައް ތަރައްގީކުރުމަށް މަސައްކަތްކުރޭ,,,,,,,,,,
282,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,1- އުނގަންނައިދިނުމުގެ ތެރޭގައި ސަކްސެސް ކްރައިޓީރިއާގައިވާ ކަންކަން ޙާޞިލުވަމުންދާ މިންވަރު ދެނެގަނޭ,,,,,,,,,,
283,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,2-  އުނގަންނައިދިން އެއްޗަކަށް ބިނާކޮށްގެން އުނގެނުމާއި އުނގަންނައިދިނުން ވަޒަންކުރޭ,,,,,,,,,,
284,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,3- ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް އަމާޒުކޮށްގެން ފެންވަރު ވަޒަންކުރޭ,,,,,,,,,,
285,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,4- ސަކްސެސް ކްރައިޓީރިއާގައިވާ ކަންކަން ޙާޞިލުވާ މިންވަރު ވަޒަންކުރުމަށް ބާރުއަޅާ,,,,,,,,,,
286,,2.3.6.1,ފިލާވަޅު ވަޒަންކުރުން ,5- ސަކްސެސް ކްރައިޓީރިއާގައިވާ ކަންކަން ޙާޞިލުވާކަން ކަށަވަރުކުރޭ,,,,,,,,,,
287,,2.3.7.1,މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީކުރުން,1- ފިލާވަޅުގައި ހިމަނައިފައިވާ ޤާބިލިއްޔަތުތައް ހިއްސާކުރޭ,,,,,,,,,,
288,,2.3.7.1,މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީކުރުން,2- ޤާބިލިއްޔަތުތަކުގެ މުހިންމުކަން އަންގައިދީ އޮޅުންފިލުވައިދޭ,,,,,,,,,,
289,,2.3.7.1,މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީކުރުން,3- ދަރިވަރުންގެ ކިބައިގައި ޤާބިލިއްޔަތުތައް އަށަގެންނެވޭ ފަދަ އުނގެނުމުގެ ހަރަކާތްތައް ގެންދޭ,,,,,,,,,,
290,,2.3.7.2,ހިއްސާކުރާ އަގުތައް ތަރައްގީކުރުން,1- ފިލާވަޅުގައި ހިމަނައިފައިވާ ހިއްސާކުރާ އަގުތައް ހިއްސާކުރޭ,,,,,,,,,,
291,,2.3.7.2,ހިއްސާކުރާ އަގުތައް ތަރައްގީކުރުން,2- ހިއްސާކުރާ އަގުތަކުގެ މުހިންމުކަން އަންގައިދީ އޮޅުންފިލުވައިދޭ,,,,,,,,,,
292,,2.3.7.2,ހިއްސާކުރާ އަގުތައް ތަރައްގީކުރުން,3- ހިއްސާކުރާ އަގުތައް އަށަގެންނެވޭ ފަދަ އުނގެނުމުގެ ހަރަކާތްތައް ގެންދޭ,,,,,,,,,,
293,,2.3.8.1,ފިލާވަޅުގެ މަގުސަދު ޙާޞިލުވިކަން އެނގޭފަދަ ނިންމުމެއް ގެނައުން,1- ފިލާވަޅުގެ މުހިންމު ބައިތަކަށް އަލިއަޅުވައިލާ,,,,,,,,,,
294,,2.3.8.1,ފިލާވަޅުގެ މަގުސަދު ޙާޞިލުވިކަން އެނގޭފަދަ ނިންމުމެއް ގެނައުން,2- ލަރނިން އިންޓެންޝަން ޙާޞިލުވިތޯ ބަލާ,,,,,,,,,,
295,,2.3.8.1,ފިލާވަޅުގެ މަގުސަދު ޙާޞިލުވިކަން އެނގޭފަދަ ނިންމުމެއް ގެނައުން,3- ކުރިއަށް އޮތް ފިލާވަޅާ މެދު ވިސްނުމަށް މަގުފަހިކުރުވާ,,,,,,,,,,