,,,, Lesson Plan (Foundation Stage),LT - 1,,,,,LT - 2,,,,,LT - 3,,,,,LT - 4,,,,,LT - 5,,,,


IndicatorCode,Average,OutcomeNo,Outcomes,Indicators,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5
214,1,2.2.1.1,މަޢުލޫމާތާއި ހުނަރާއި ސިފަ ހިމަނައިގެން ލެސަން ޕްލޭންތައް ތައްޔާރުކުރުން,1- މަޢުލޫމާތު ފޯރުކޮށްދެވޭ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
215,1,,,2- ހުނަރުތައް ތަރައްޤީވާ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
216,1,,,3- ސިފަތައް އަށަގެންނެވޭ ގޮތަށް ލެސަން ޕްލޭން ތައްޔާރުކުރޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
217,1,2.2.1.2,ލާރނިންގ އިންޓެންޝަނާއި ސަކްސެސް ކްރައިޓިރިއާ ހިމަނައިގެން ލެސަން ޕްލޭން ތައްޔާރުކުރުން,1- ލަރނިން އިންޓެންޝަން ޙާޞިލުވާ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންގައި ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
218,1,,,2- ސަކްސެސް ކްރައިޓީރިއާގައިވާ ކަންކަން ޙާޞިލުވާ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންގައި ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
219,1,,,3- ދަރިވަރުންނަށް ޙާޞިލުކުރެވޭ މިންވަރު ވަޒަންކުރެވޭ ގޮތަށް ސަކްސެސް ކްރައިޓީރިއާ އިބާރާތްކޮށްފައި ވޭ  ,1,,,,,,,,,,,,,,,,,,,,,,,,
220,1,2.2.1.3,މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީކުރެވޭ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންގައި ހިމަނައިފައިވުން,1- ފިލާވަޅާ ގުޅޭ ގޮތަށް މައިގަނޑު ޤާބިލިއްޔަތުތަކުގެ އިންޑިކޭޓަރތައް ހިމަނައިފައި ވޭ ,1,,,,,,,,,,,,,,,,,,,,,,,,
221,1,,,2- މައިގަނޑު ޤާބިލިއްޔަތުތައް ތަރައްގީވާ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް  ހިމަނައިފައި ވޭ ,1,,,,,,,,,,,,,,,,,,,,,,,,
222,1,,,3- އުނގަންނައިދޭ އެއްޗަކާއި ވަޒަންކުރާ އެއްޗަކާ ގުޅޭ ގޮތަށް މައިގަނޑު ޤާބިލިއްޔަތުތައް  ހިމަނައިފައި ވޭ ,1,,,,,,,,,,,,,,,,,,,,,,,,
223,1,2.2.1.4,ހިއްސާކުރާ އަގުތައް ތަރައްގީކުރެވޭ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭންތަކުގައި ހިމަނައިފައިވުން,1- ފިލާވަޅާ ގުޅޭ ގޮތަށް ހިއްސާކުރާ އަގުތައް ހިމަނައިފައި ވޭ ,1,,,,,,,,,,,,,,,,,,,,,,,,
224,1,,,2- ހިއްސާކުރާ އަގުތައް އަށަގެންނެވޭ ގޮތަށް އުނގެނުމާއި އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް  ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
225,1,,,3- އުނގަންނައިދޭ އެއްޗަކާއި ވަޒަންކުރާ އެއްޗަކާ ގުޅޭ ގޮތަށް ހިއްސާކުރާ އަގުތައް  ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
226,1,2.2.1.5,ލެސަން ޕްލޭންގައި ފިލާވަޅާ ގުޅޭ އުނގެނުމުގެ އެހީ ހިމަނައިފައިވުން,1- އުނގެނުމުގެ އެހީ ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
227,1,,,2- އާންމު ދިރިއުޅުމާ ގުޅޭ އުނގެނުމުގެ އެހީ ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
228,1,,,3- މަޤްޞަދު ޙާޞިލުވާ ފަދަ އުނގެނުމުގެ އެހީ ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
229,1,2.2.1.6,ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް ރިއާޔަތްކޮށް ލެސަން ޕްލޭން ތައްޔާރުކުރުން,1- އައިސީޕީ ހަދާފައިވާ ދަރިވަރުންނަށް ކަނޑައަޅައިފައިވާ ގޯލްތައް ޙާޞިލުކުރެވޭ ގޮތަށް އުނގަންނައިދިނުމުގެ ހަރަކާތްތައް ލެސަން ޕްލޭނުގައި ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
230,1,,,2- ތަފާތު ފެންވަރުގެ ދަރިވަރުން ބައިވެރިކުރުމަށް ހަރަކާތްތައް ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
231,1,,,3- ތަފާތު ފެންވަރުގެ ދަރިވަރުންނަށް ބައިވެރިވެވޭނެހެން މަޢުލޫމާތާއި ހުނަރު އަދި އަގުތައް (ވެލިއުސް) ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
232,1,2.2.1.7, އުނގެނުން ވަޒަންކުރުން ލެސަން ޕްލޭންތަކުގައި ހިމެނުން,1- އުނގެނުން ވަޒަންކުރާނެ ގޮތް ލެސަންޕްލޭނުގައި ހިމަނައިފައި ވޭ ,1,,,,,,,,,,,,,,,,,,,,,,,,
233,1,,,2- އުނގެނުން ވަޒަންކުރުމަށް ބޭނުންކުރާނެ ޓޫލް ހިމަނައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
234,1,,,3- ފެންވަރުގެ ގޮތުން ތަފާތު ދަރިވަރުން އެސެސްކުރާނެ ގޮތްތައް ހިމަނައިފައި ވޭ ,1,,,,,,,,,,,,,,,,,,,,,,,,
235,1,2.2.1.8,ލެސަން ޕްލޭންތަކުގައި ފިލާވަޅުގެ އެކި ބައިތައް ގެންދިއުމަށް އެކަށީގެންވާ ވަރަށް ވަގުތު ކަނޑައަޅައިފައިވުން,1- ފިލާވަޅުގެ ފެށުމަށް ވަގުތު ކަނޑައަޅައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
236,1,,,2-  މައިގަނޑުގެ ވަކިވަކި ހަރަކާތްތަކަށް ވަގުތު ކަނޑައަޅައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,
237,1,,,3- ފިލާވަޅު ނިންމުމަށް ވަގުތު ކަނޑައަޅައިފައި ވޭ,1,,,,,,,,,,,,,,,,,,,,,,,,