,,,,,Teachers Data Entry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

IndicatorCode,V.Good,Good,Not Good,OutcomeNumber,Indicator,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72
5,0,0,0,1.1.1.1,1- ސެން މުދައްރިސުންގެ ފަންނީ ލަފާ، މެއިންސްޓްރީމް ޓީޗަރުންނަށް ލިބޭނެ އިންތިޒާމު ހަމަޖައްސައިފައި ވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,0,0,0,3.4.1.4,2- މުވައްޒަފުންގެ ފާޚާނާތަކުގެ ސާފުތާހިރުކަން ބަލަހައްޓާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,0,0,0,3.4.1.4,3- މުވައްޒަފުންގެ ފާޚާނާތަކުގައި ސައިބޯނި ބަހައްޓައިފައި ހުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,0,0,0,3.4.1.4,4- މުވައްޒަފުންގެ ފާޚާނާތަކުގައި ޑަސްބިން ބަހައްޓައިފައި ހުރޭ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
472,0,0,0,5.1.4.1,5- ސްކޫލް އިމްޕްރޫވްމަންޓް، ކޮލިޓީ އެޝުއަރަންސް އެންޑް އެކައުންޓަބިލިޓީ ފްރޭމްވާރކް (ސިގާފް) އަށް ބެލެނިވެރިން އަހުލުވެރިކުރުވާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,0,0,0,5.1.4.1,6-  ސްކޫލް އިމްޕްރޫވްމަންޓް، ކޮލިޓީ އެޝުއަރަންސް އެންޑް އެކައުންޓަބިލިޓީ ފްރޭމްވާރކް (ސިގާފް) އަށް އެހެނިހެން މުވައްޒަފުން އަހުލުވެރިކުރުވާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475,0,0,0,5.1.4.2,7- އެސް އެސް އީ ފެށުމުގެ ކުރިން އެކަމާ ގުޅޭ މަޢުލޫމާތު ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
477,0,0,0,5.1.4.2,8- އެސް އެސް އީގެ ހޯދުންތައް، ގުޅުންހުރި ފަރާތްތަކާ ހިއްސާކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
514,0,0,0,5.2.4.1,9- ކޮންމެ ދުވަހަކު އެސެމްބްލީގައި ޤައުމީ ސަލާމު ކިޔާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,0,0,0,5.2.6.1,10- ތިމާވެށި ރައްކާތެރިކުރުމާއި ދެމެހެއްޓެނިވި އާދަތަކާ ގުޅޭގޮތުން މުވައްޒަފުން ހޭލުންތެރިކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,0,0,0,5.2.6.1,11- ތިމާވެށި ރައްކާތެރިކުރުމާއި ދެމެހެއްޓެނިވި އާދަތަކާ ގުޅޭގޮތުން ދަރިވަރުން ހޭލުންތެރިކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,0,0,0,5.2.6.1,12- ޕްލާސްޓިކުން އުފައްދާފައިވާ ތަކެތީގެ ތެރެއިން އެއް ފަހަރު ބޭނުންކޮށްފައި އެއްލައިލާ ތަކެތި، ބޭނުންނުކުރުމަށް މުވައްޒަފުންނަށް ބާރުއަޅާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
901,0,0,0,5.2.6.1,13- 'ރެޑިއުސް، ރީ ޔޫޒް، ރީސައިކަލް' ކުރުމަށް މުވައްޒަފުންނަށް ސްކޫލުން ބާރުއަޅާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,0,0,0,5.4.6.1,14- ކޯޑިނޭޝަން މީޓިންތަކުގައި މުދައްރިސުންނަށް ފަންނީލަފަޔާއި އިރުޝާދު ދޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,0,0,0,5.4.6.1,15- ކޯޑިނޭޝަނުގައި މަޝްވަރާކުރާ ކަންކަން ކުރުމަށް މަގުފަހިކޮށްދޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,0,0,0,5.7.1.4,16- ދަރިވަރުންގެ ކިބައިން ރިވެތި ސިފަތައް ފެނޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,0,0,0,5.7.1.4,17- އެހެނިހެން މުވައްޒަފުންގެ ކިބައިން ރިވެތި ސިފަތައް ފެނޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,0,0,0,3.2.1.10,18- ދަރިވަރުންގެ އަޚުލާޤާ މެދު މުދައްރިސުން ދެކޭ ގޮތް,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,0,0,0,5.4.7.1,19- މަންހަޖު ތަންފީޒުކުރުމަށް ބޭނުންވާ ފަންނީ އެހީތެރިކަން ޕްރިންސިޕަލްގެ ފަރާތުން ލިބޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,0,0,0,5.4.7.1,20- މަންހަޖު ތަންފީޒުކުރުމަށް ބޭނުންވާ ފަންނީ އެހީތެރިކަން ޑެޕިއުޓީ ޕްރިންސިޕަލްގެ ފަރާތުން ލިބޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,0,0,0,5.4.7.1,21- މަންހަޖު ތަންފީޒުކުރުމަށް ބޭނުންވާ ފަންނީ އެހީތެރިކަން ލީޑިންގ ޓީޗަރުގެ ފަރާތުން ލިބޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,0,0,0,5.1.3.1,22- ހާސިލުކުރަން ބޭނުންވާ ލަނޑުދަނޑިތައް ސްކޫލް ހިއްސާވާ ފަރާތްތަކާ ހިއްސާކުރޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,0,0,0,5.1.3.1,23- ލަނޑުދަނޑިތައް ހާސިލުވަމުންދާ މިންވަރު ބަލައި ފިޔަވަޅުއަޅާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,0,0,0,5.4.2.4,24- އިންފޯމަލް އޮބްޒަރވޭޝަން  ކުރިއަށްގެންދޭ (ވިންޑޯ އޮބްޒަރވޭޝަން ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,0,0,0,5.4.3.1,25- މުދައްރިސުން  ސްކޫލުގައި އުޅޭ ވަގުތުތަކުގައި ޕްރިންސިޕަލް މުދައްރިސުންނާ  ބައްދަލުވެ، ވާހަކަދައްކައި ހަދާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,0,0,0,5.4.3.1,26- ސްކޫލުން ކުރިއަށްގެންދާ ހަރަކާތްތައް ކުރިއަށްދާ އިރު ޕްރިންސިޕަލް ހާޒިރުވޭ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,0,0,0,5.7.1.4,27- ސްކޫލް މާހައުލަކީ އޯގާތެރިކަމާ އެކު މުއާމަލާތްކުރާ ތަނަކަށް ހެދުމަށް އެސެމްބްލީގައި ބާރުއަޅާ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,